AgeRange,Age,PassengerId,Name,Sex,Pclass,Survived
30-44,30.0,80,"Dowdell, Miss. Elizabeth",female,3,1
18-29,22.0,81,"Waelens, Mr. Achille",male,3,0
18-29,29.0,82,"Sheerlinck, Mr. Jan Baptist",male,3,1
30-44,33.2,83,"McDermott, Miss. Brigdet Delia",female,3,1
18-29,28.0,84,"Carrau, Mr. Francisco M",male,1,0
0-17,17.0,85,"Ilett, Miss. Bertha",female,2,1
30-44,33.0,86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,3,1
0-17,16.0,87,"Ford, Mr. William Neal",male,3,0
30-44,33.2,88,"Slocovski, Mr. Selman Francis",male,3,0
18-29,23.0,89,"Fortune, Miss. Mabel Helen",female,1,1
18-29,24.0,90,"Celotti, Mr. Francesco",male,3,0
18-29,29.0,91,"Christmann, Mr. Emil",male,3,0
18-29,20.0,92,"Andreasson, Mr. Paul Edvin",male,3,0
45-59,46.0,93,"Chaffee, Mr. Herbert Fuller",male,1,0
18-29,26.0,94,"Dean, Mr. Bertram Frank",male,3,0
45-59,59.0,95,"Coxon, Mr. Daniel",male,3,0
30-44,33.2,96,"Shorney, Mr. Charles Joseph",male,3,0
60+,71.0,97,"Goldschmidt, Mr. George B",male,1,0
18-29,23.0,98,"Greenfield, Mr. William Bertram",male,1,1
30-44,34.0,99,"Doling, Mrs. John T (Ada Julia Bone)",female,2,1
30-44,34.0,100,"Kantor, Mr. Sinai",male,2,0
18-29,28.0,101,"Petranec, Miss. Matilda",female,3,0
30-44,33.2,102,"Petroff, Mr. Pastcho (""Pentcho"")",male,3,0
18-29,21.0,103,"White, Mr. Richard Frasar",male,1,0
30-44,33.0,104,"Johansson, Mr. Gustaf Joel",male,3,0
30-44,37.0,105,"Gustafsson, Mr. Anders Vilhelm",male,3,0
18-29,28.0,106,"Mionoff, Mr. Stoytcho",male,3,0
18-29,21.0,107,"Salkjelsvik, Miss. Anna Kristine",female,3,1
30-44,33.2,108,"Moss, Mr. Albert Johan",male,3,1
30-44,38.0,109,"Rekic, Mr. Tido",male,3,0
30-44,33.2,110,"Moran, Miss. Bertha",female,3,1
45-59,47.0,111,"Porter, Mr. Walter Chamberlain",male,1,0
0-17,14.5,112,"Zabour, Miss. Hileni",female,3,0
18-29,22.0,113,"Barton, Mr. David John",male,3,0
18-29,20.0,114,"Jussila, Miss. Katriina",female,3,0
0-17,17.0,115,"Attalah, Miss. Malake",female,3,0
18-29,21.0,116,"Pekoniemi, Mr. Edvard",male,3,0
60+,70.5,117,"Connors, Mr. Patrick",male,3,0
18-29,29.0,118,"Turpin, Mr. William John Robert",male,2,0
18-29,24.0,119,"Baxter, Mr. Quigg Edmond",male,1,0
0-17,2.0,120,"Andersson, Miss. Ellis Anna Maria",female,3,0
18-29,21.0,121,"Hickman, Mr. Stanley George",male,2,0
30-44,33.2,122,"Moore, Mr. Leonard Charles",male,3,0
30-44,32.5,123,"Nasser, Mr. Nicholas",male,2,0
30-44,32.5,124,"Webber, Miss. Susan",female,2,1
45-59,54.0,125,"White, Mr. Percival Wayland",male,1,0
0-17,12.0,126,"Nicola-Yarred, Master. Elias",male,3,1
30-44,33.2,127,"McMahon, Mr. Martin",male,3,0
18-29,24.0,128,"Madsen, Mr. Fridtjof Arne",male,3,1
30-44,33.2,129,"Peter, Miss. Anna",female,3,1
45-59,45.0,130,"Ekstrom, Mr. Johan",male,3,0
30-44,33.0,131,"Drazenoic, Mr. Jozef",male,3,0
18-29,20.0,132,"Coelho, Mr. Domingos Fernandeo",male,3,0
45-59,47.0,133,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,3,0
18-29,29.0,134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,2,1
18-29,25.0,135,"Sobey, Mr. Samuel James Hayden",male,2,0
18-29,23.0,136,"Richard, Mr. Emile",male,2,0
18-29,19.0,137,"Newsom, Miss. Helen Monypeny",female,1,1
30-44,37.0,138,"Futrelle, Mr. Jacques Heath",male,1,0
0-17,16.0,139,"Osen, Mr. Olaf Elon",male,3,0
18-29,24.0,140,"Giglio, Mr. Victor",male,1,0
30-44,33.2,141,"Boulos, Mrs. Joseph (Sultana)",female,3,0
18-29,22.0,142,"Nysten, Miss. Anna Sofia",female,3,1
18-29,24.0,143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,3,1
18-29,19.0,144,"Burke, Mr. Jeremiah",male,3,0
18-29,18.0,145,"Andrew, Mr. Edgardo Samuel",male,2,0
18-29,19.0,146,"Nicholls, Mr. Joseph Charles",male,2,0
18-29,27.0,147,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,3,1
0-17,9.0,148,"Ford, Miss. Robina Maggie ""Ruby""",female,3,0
30-44,36.5,149,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,2,0
30-44,42.0,150,"Byles, Rev. Thomas Roussel Davids",male,2,0
45-59,51.0,151,"Bateman, Rev. Robert James",male,2,0
18-29,22.0,152,"Pears, Mrs. Thomas (Edith Wearne)",female,1,1
45-59,55.5,153,"Meo, Mr. Alfonzo",male,3,0
30-44,40.5,154,"van Billiard, Mr. Austin Blyler",male,3,0
30-44,33.2,155,"Olsen, Mr. Ole Martin",male,3,0
45-59,51.0,156,"Williams, Mr. Charles Duane",male,1,0
0-17,16.0,157,"Gilnagh, Miss. Katherine ""Katie""",female,3,1
30-44,30.0,158,"Corn, Mr. Harry",male,3,0
30-44,33.2,159,"Smiljanic, Mr. Mile",male,3,0
30-44,33.2,160,"Sage, Master. Thomas Henry",male,3,0
30-44,44.0,161,"Cribb, Mr. John Hatfield",male,3,0
30-44,40.0,162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,2,1
18-29,26.0,163,"Bengtsson, Mr. John Viktor",male,3,0
0-17,17.0,164,"Calic, Mr. Jovo",male,3,0
0-17,1.0,165,"Panula, Master. Eino Viljami",male,3,0
0-17,9.0,166,"Goldsmith, Master. Frank John William ""Frankie""",male,3,1
30-44,33.2,167,"Chibnall, Mrs. (Edith Martha Bowerman)",female,1,1
45-59,45.0,168,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,3,0
30-44,33.2,169,"Baumann, Mr. John D",male,1,0
18-29,28.0,170,"Ling, Mr. Lee",male,3,0
60+,61.0,171,"Van der hoef, Mr. Wyckoff",male,1,0
0-17,4.0,172,"Rice, Master. Arthur",male,3,0
0-17,1.0,173,"Johnson, Miss. Eleanor Ileen",female,3,1
18-29,21.0,174,"Sivola, Mr. Antti Wilhelm",male,3,0
45-59,56.0,175,"Smith, Mr. James Clinch",male,1,0
18-29,18.0,176,"Klasen, Mr. Klas Albin",male,3,0
30-44,33.2,177,"Lefebre, Master. Henry Forbes",male,3,0
45-59,50.0,178,"Isham, Miss. Ann Elizabeth",female,1,0
30-44,30.0,179,"Hale, Mr. Reginald",male,2,0
30-44,36.0,180,"Leonard, Mr. Lionel",male,3,0
30-44,33.2,181,"Sage, Miss. Constance Gladys",female,3,0
30-44,33.2,182,"Pernot, Mr. Rene",male,2,0
0-17,9.0,183,"Asplund, Master. Clarence Gustaf Hugo",male,3,0
0-17,1.0,184,"Becker, Master. Richard F",male,2,1
0-17,4.0,185,"Kink-Heilmann, Miss. Luise Gretchen",female,3,1
30-44,33.2,186,"Rood, Mr. Hugh Roscoe",male,1,0
30-44,33.2,187,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,3,1
45-59,45.0,188,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,1,1
30-44,40.0,189,"Bourke, Mr. John",male,3,0
30-44,36.0,190,"Turcin, Mr. Stjepan",male,3,0
30-44,32.0,191,"Pinsky, Mrs. (Rosa)",female,2,1
18-29,19.0,192,"Carbines, Mr. William",male,2,0
18-29,19.0,193,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,3,1
0-17,3.0,194,"Navratil, Master. Michel M",male,2,1
30-44,44.0,195,"Brown, Mrs. James Joseph (Margaret Tobin)",female,1,1
45-59,58.0,196,"Lurette, Miss. Elise",female,1,1
30-44,33.2,197,"Mernagh, Mr. Robert",male,3,0
30-44,42.0,198,"Olsen, Mr. Karl Siegwart Andreas",male,3,0
30-44,33.2,199,"Madigan, Miss. Margaret ""Maggie""",female,3,1
18-29,24.0,200,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,2,0
18-29,28.0,201,"Vande Walle, Mr. Nestor Cyriel",male,3,0
30-44,33.2,202,"Sage, Mr. Frederick",male,3,0
30-44,34.0,203,"Johanson, Mr. Jakob Alfred",male,3,0
45-59,45.5,204,"Youseff, Mr. Gerious",male,3,0
18-29,18.0,205,"Cohen, Mr. Gurshon ""Gus""",male,3,1
0-17,2.0,206,"Strom, Miss. Telma Matilda",female,3,0
30-44,32.0,207,"Backstrom, Mr. Karl Alfred",male,3,0
18-29,26.0,208,"Albimona, Mr. Nassef Cassem",male,3,1
0-17,16.0,209,"Carr, Miss. Helen ""Ellen""",female,3,1
30-44,40.0,210,"Blank, Mr. Henry",male,1,1
18-29,24.0,211,"Ali, Mr. Ahmed",male,3,0
30-44,35.0,212,"Cameron, Miss. Clear Annie",female,2,1
18-29,22.0,213,"Perkin, Mr. John Henry",male,3,0
30-44,30.0,214,"Givard, Mr. Hans Kristensen",male,2,0
30-44,33.2,215,"Kiernan, Mr. Philip",male,3,0
30-44,31.0,216,"Newell, Miss. Madeleine",female,1,1
18-29,27.0,217,"Honkanen, Miss. Eliina",female,3,1
30-44,42.0,218,"Jacobsohn, Mr. Sidney Samuel",male,2,0
30-44,32.0,219,"Bazzani, Miss. Albina",female,1,1
30-44,30.0,220,"Harris, Mr. Walter",male,2,0
0-17,16.0,221,"Sunderland, Mr. Victor Francis",male,3,1
18-29,27.0,222,"Bracken, Mr. James H",male,2,0
45-59,51.0,223,"Green, Mr. George Henry",male,3,0
30-44,33.2,224,"Nenkoff, Mr. Christo",male,3,0
30-44,38.0,225,"Hoyt, Mr. Frederick Maxfield",male,1,1
18-29,22.0,226,"Berglund, Mr. Karl Ivar Sven",male,3,0
18-29,19.0,227,"Mellors, Mr. William John",male,2,1
18-29,20.5,228,"Lovell, Mr. John Hall (""Henry"")",male,3,0
18-29,18.0,229,"Fahlstrom, Mr. Arne Jonas",male,2,0
30-44,33.2,230,"Lefebre, Miss. Mathilde",female,3,0
30-44,35.0,231,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,1,1
18-29,29.0,232,"Larsson, Mr. Bengt Edvin",male,3,0
45-59,59.0,233,"Sjostedt, Mr. Ernst Adolf",male,2,0
0-17,5.0,234,"Asplund, Miss. Lillian Gertrud",female,3,1
18-29,24.0,235,"Leyson, Mr. Robert William Norman",male,2,0
30-44,33.2,236,"Harknett, Miss. Alice Phoebe",female,3,0
30-44,44.0,237,"Hold, Mr. Stephen",male,2,0
0-17,8.0,238,"Collyer, Miss. Marjorie ""Lottie""",female,2,1
18-29,19.0,239,"Pengelly, Mr. Frederick William",male,2,0
30-44,33.0,240,"Hunt, Mr. George Henry",male,2,0
30-44,33.2,241,"Zabour, Miss. Thamine",female,3,0
30-44,33.2,242,"Murphy, Miss. Katherine ""Kate""",female,3,1
18-29,29.0,243,"Coleridge, Mr. Reginald Charles",male,2,0
18-29,22.0,244,"Maenpaa, Mr. Matti Alexanteri",male,3,0
30-44,30.0,245,"Attalah, Mr. Sleiman",male,3,0
30-44,44.0,246,"Minahan, Dr. William Edward",male,1,0
18-29,25.0,247,"Lindahl, Miss. Agda Thorilda Viktoria",female,3,0
18-29,24.0,248,"Hamalainen, Mrs. William (Anna)",female,2,1
30-44,37.0,249,"Beckwith, Mr. Richard Leonard",male,1,1
45-59,54.0,250,"Carter, Rev. Ernest Courtenay",male,2,0
30-44,33.2,251,"Reed, Mr. James George",male,3,0
18-29,29.0,252,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,3,0
60+,62.0,253,"Stead, Mr. William Thomas",male,1,0
30-44,30.0,254,"Lobb, Mr. William Arthur",male,3,0
30-44,41.0,255,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,3,0
18-29,29.0,256,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,3,1
30-44,33.2,257,"Thorne, Mrs. Gertrude Maybelle",female,1,1
30-44,30.0,258,"Cherry, Miss. Gladys",female,1,1
30-44,35.0,259,"Ward, Miss. Anna",female,1,1
45-59,50.0,260,"Parrish, Mrs. (Lutie Davis)",female,2,1
30-44,33.2,261,"Smith, Mr. Thomas",male,3,0
0-17,3.0,262,"Asplund, Master. Edvin Rojj Felix",male,3,1
45-59,52.0,263,"Taussig, Mr. Emil",male,1,0
30-44,40.0,264,"Harrison, Mr. William",male,1,0
30-44,33.2,265,"Henry, Miss. Delia",female,3,0
30-44,36.0,266,"Reeves, Mr. David",male,2,0
0-17,16.0,267,"Panula, Mr. Ernesti Arvid",male,3,0
18-29,25.0,268,"Persson, Mr. Ernst Ulrik",male,3,1
45-59,58.0,269,"Graham, Mrs. William Thompson (Edith Junkins)",female,1,1
30-44,35.0,270,"Bissette, Miss. Amelia",female,1,1
30-44,33.2,271,"Cairns, Mr. Alexander",male,1,0
18-29,25.0,272,"Tornquist, Mr. William Henry",male,3,1
30-44,41.0,273,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,2,1
30-44,37.0,274,"Natsch, Mr. Charles H",male,1,0
30-44,33.2,275,"Healy, Miss. Hanora ""Nora""",female,3,1
60+,63.0,276,"Andrews, Miss. Kornelia Theodosia",female,1,1
45-59,45.0,277,"Lindblom, Miss. Augusta Charlotta",female,3,0
30-44,33.2,278,"Parkes, Mr. Francis ""Frank""",male,2,0
0-17,7.0,279,"Rice, Master. Eric",male,3,0
30-44,35.0,280,"Abbott, Mrs. Stanton (Rosa Hunt)",female,3,1
60+,65.0,281,"Duane, Mr. Frank",male,3,0
18-29,28.0,282,"Olsson, Mr. Nils Johan Goransson",male,3,0
0-17,16.0,283,"de Pelsmaeker, Mr. Alfons",male,3,0
18-29,19.0,284,"Dorking, Mr. Edward Arthur",male,3,1
30-44,33.2,285,"Smith, Mr. Richard William",male,1,0
30-44,33.0,286,"Stankovic, Mr. Ivan",male,3,0
30-44,30.0,287,"de Mulder, Mr. Theodore",male,3,1
18-29,22.0,288,"Naidenoff, Mr. Penko",male,3,0
30-44,42.0,289,"Hosono, Mr. Masabumi",male,2,1
18-29,22.0,290,"Connolly, Miss. Kate",female,3,1
18-29,26.0,291,"Barber, Miss. Ellen ""Nellie""",female,1,1
18-29,19.0,292,"Bishop, Mrs. Dickinson H (Helen Walton)",female,1,1
30-44,36.0,293,"Levy, Mr. Rene Jacques",male,2,0
18-29,24.0,294,"Haas, Miss. Aloisia",female,3,0
18-29,24.0,295,"Mineff, Mr. Ivan",male,3,0
30-44,33.2,296,"Lewy, Mr. Ervin G",male,1,0
18-29,23.5,297,"Hanna, Mr. Mansour",male,3,0
0-17,2.0,298,"Allison, Miss. Helen Loraine",female,1,0
30-44,33.2,299,"Saalfeld, Mr. Adolphe",male,1,1
45-59,50.0,300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,1,1
30-44,33.2,301,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,3,1
30-44,33.2,302,"McCoy, Mr. Bernard",male,3,1
18-29,19.0,303,"Johnson, Mr. William Cahoone Jr",male,3,0
30-44,33.2,304,"Keane, Miss. Nora A",female,2,1
30-44,33.2,305,"Williams, Mr. Howard Hugh ""Harry""",male,3,0
0-17,0.92,306,"Allison, Master. Hudson Trevor",male,1,1
30-44,33.2,307,"Fleming, Miss. Margaret",female,1,1
0-17,17.0,308,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,1,1
30-44,30.0,309,"Abelson, Mr. Samuel",male,2,0
30-44,30.0,310,"Francatelli, Miss. Laura Mabel",female,1,1
18-29,24.0,311,"Hays, Miss. Margaret Bechstein",female,1,1
18-29,18.0,312,"Ryerson, Miss. Emily Borie",female,1,1
18-29,26.0,313,"Lahtinen, Mrs. William (Anna Sylfven)",female,2,0
18-29,28.0,314,"Hendekovic, Mr. Ignjac",male,3,0
30-44,43.0,315,"Hart, Mr. Benjamin",male,2,0
18-29,26.0,316,"Nilsson, Miss. Helmina Josefina",female,3,1
18-29,24.0,317,"Kantor, Mrs. Sinai (Miriam Sternin)",female,2,1
45-59,54.0,318,"Moraweck, Dr. Ernest",male,2,0
30-44,31.0,319,"Wick, Miss. Mary Natalie",female,1,1
30-44,40.0,320,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,1,1
18-29,22.0,321,"Dennis, Mr. Samuel",male,3,0
18-29,27.0,322,"Danoff, Mr. Yoto",male,3,0
30-44,30.0,323,"Slayter, Miss. Hilda Mary",female,2,1
18-29,22.0,324,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,2,1
30-44,33.2,325,"Sage, Mr. George John Jr",male,3,0
30-44,36.0,326,"Young, Miss. Marie Grice",female,1,1
60+,61.0,327,"Nysveen, Mr. Johan Hansen",male,3,0
30-44,36.0,328,"Ball, Mrs. (Ada E Hall)",female,2,1
30-44,31.0,329,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,3,1
0-17,16.0,330,"Hippach, Miss. Jean Gertrude",female,1,1
30-44,33.2,331,"McCoy, Miss. Agnes",female,3,1
45-59,45.5,332,"Partner, Mr. Austen",male,1,0
30-44,38.0,333,"Graham, Mr. George Edward",male,1,0
0-17,16.0,334,"Vander Planke, Mr. Leo Edmondus",male,3,0
30-44,33.2,335,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,1,1
30-44,33.2,336,"Denkoff, Mr. Mitto",male,3,0
18-29,29.0,337,"Pears, Mr. Thomas Clinton",male,1,0
30-44,41.0,338,"Burns, Miss. Elizabeth Margaret",female,1,1
45-59,45.0,339,"Dahl, Mr. Karl Edwart",male,3,1
45-59,45.0,340,"Blackwell, Mr. Stephen Weart",male,1,0
0-17,2.0,341,"Navratil, Master. Edmond Roger",male,2,1
18-29,24.0,342,"Fortune, Miss. Alice Elizabeth",female,1,1
18-29,28.0,343,"Collander, Mr. Erik Gustaf",male,2,0
18-29,25.0,344,"Sedgwick, Mr. Charles Frederick Waddington",male,2,0
30-44,36.0,345,"Fox, Mr. Stanley Hubert",male,2,0
18-29,24.0,346,"Brown, Miss. Amelia ""Mildred""",female,2,1
30-44,40.0,347,"Smith, Miss. Marion Elsie",female,2,1
30-44,33.2,348,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,3,1
0-17,3.0,349,"Coutts, Master. William Loch ""William""",male,3,1
30-44,42.0,350,"Dimic, Mr. Jovan",male,3,0
18-29,23.0,351,"Odahl, Mr. Nils Martin",male,3,0
30-44,33.2,352,"Williams-Lambert, Mr. Fletcher Fellows",male,1,0
0-17,15.0,353,"Elias, Mr. Tannous",male,3,0
18-29,25.0,354,"Arnold-Franchi, Mr. Josef",male,3,0
30-44,33.2,355,"Yousif, Mr. Wazli",male,3,0
18-29,28.0,356,"Vanden Steen, Mr. Leo Peter",male,3,0
18-29,22.0,357,"Bowerman, Miss. Elsie Edith",female,1,1
30-44,38.0,358,"Funk, Miss. Annie Clemmer",female,2,0
30-44,33.2,359,"McGovern, Miss. Mary",female,3,1
30-44,33.2,360,"Mockler, Miss. Helen Mary ""Ellie""",female,3,1
30-44,40.0,361,"Skoog, Mr. Wilhelm",male,3,0
18-29,29.0,362,"del Carlo, Mr. Sebastiano",male,2,0
45-59,45.0,363,"Barbara, Mrs. (Catherine David)",female,3,0
30-44,35.0,364,"Asim, Mr. Adola",male,3,0
30-44,33.2,365,"O'Brien, Mr. Thomas",male,3,0
30-44,30.0,366,"Adahl, Mr. Mauritz Nils Martin",male,3,0
60+,60.0,367,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,1,1
30-44,33.2,368,"Moussa, Mrs. (Mantoura Boulos)",female,3,1
30-44,33.2,369,"Jermyn, Miss. Annie",female,3,1
18-29,24.0,370,"Aubart, Mme. Leontine Pauline",female,1,1
18-29,25.0,371,"Harder, Mr. George Achilles",male,1,1
18-29,18.0,372,"Wiklund, Mr. Jakob Alfred",male,3,0
18-29,19.0,373,"Beavan, Mr. William Thomas",male,3,0
18-29,22.0,374,"Ringhini, Mr. Sante",male,1,0
0-17,3.0,375,"Palsson, Miss. Stina Viola",female,3,0
30-44,33.2,376,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,1,1
18-29,22.0,377,"Landergren, Miss. Aurora Adelia",female,3,1
18-29,27.0,378,"Widener, Mr. Harry Elkins",male,1,0
18-29,20.0,379,"Betros, Mr. Tannous",male,3,0
18-29,19.0,380,"Gustafsson, Mr. Karl Gideon",male,3,0
30-44,42.0,381,"Bidois, Miss. Rosalie",female,1,1
0-17,1.0,382,"Nakid, Miss. Maria (""Mary"")",female,3,1
30-44,32.0,383,"Tikkanen, Mr. Juho",male,3,0
30-44,35.0,384,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,1,1
30-44,33.2,385,"Plotcharsky, Mr. Vasil",male,3,0
18-29,18.0,386,"Davies, Mr. Charles Henry",male,2,0
0-17,1.0,387,"Goodwin, Master. Sidney Leonard",male,3,0
30-44,36.0,388,"Buss, Miss. Kate",female,2,1
30-44,33.2,389,"Sadlier, Mr. Matthew",male,3,0
0-17,17.0,390,"Lehmann, Miss. Bertha",female,2,1
30-44,36.0,391,"Carter, Mr. William Ernest",male,1,1
18-29,21.0,392,"Jansson, Mr. Carl Olof",male,3,1
18-29,28.0,393,"Gustafsson, Mr. Johan Birger",male,3,0
18-29,23.0,394,"Newell, Miss. Marjorie",female,1,1
18-29,24.0,395,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,3,1
18-29,22.0,396,"Johansson, Mr. Erik",male,3,0
30-44,31.0,397,"Olsson, Miss. Elina",female,3,0
45-59,46.0,398,"McKane, Mr. Peter David",male,2,0
18-29,23.0,399,"Pain, Dr. Alfred",male,2,0
18-29,28.0,400,"Trout, Mrs. William H (Jessie L)",female,2,1
