PassengerId,Pclass,Survived,Name,Sex,Age
55,1,0,"Ostby, Mr. Engelhart Cornelius",male,65.0
56,1,1,"Woolner, Mr. Hugh",male,33.2
57,2,1,"Rugg, Miss. Emily",female,21.0
58,3,0,"Novel, Mr. Mansouer",male,28.5
59,2,1,"West, Miss. Constance Mirium",female,5.0
60,3,0,"Goodwin, Master. William Frederick",male,11.0
61,3,0,"Sirayanian, Mr. Orsen",male,22.0
62,1,1,"Icard, Miss. Amelie",female,38.0
63,1,0,"Harris, Mr. Henry Birkhardt",male,45.0
64,3,0,"Skoog, Master. Harald",male,4.0
65,1,0,"Stewart, Mr. Albert A",male,33.2
66,3,1,"Moubarek, Master. Gerios",male,33.2
67,2,1,"Nye, Mrs. (Elizabeth Ramell)",female,29.0
68,3,0,"Crease, Mr. Ernest James",male,19.0
69,3,1,"Andersson, Miss. Erna Alexandra",female,17.0
70,3,0,"Kink, Mr. Vincenz",male,26.0
71,2,0,"Jenkin, Mr. Stephen Curnow",male,32.0
72,3,0,"Goodwin, Miss. Lillian Amy",female,16.0
73,2,0,"Hood, Mr. Ambrose Jr",male,21.0
74,3,0,"Chronopoulos, Mr. Apostolos",male,26.0
75,3,1,"Bing, Mr. Lee",male,32.0
76,3,0,"Moen, Mr. Sigurd Hansen",male,25.0
77,3,0,"Staneff, Mr. Ivan",male,33.2
78,3,0,"Moutal, Mr. Rahamin Haim",male,33.2
79,2,1,"Caldwell, Master. Alden Gates",male,0.83
80,3,1,"Dowdell, Miss. Elizabeth",female,30.0
81,3,0,"Waelens, Mr. Achille",male,22.0
82,3,1,"Sheerlinck, Mr. Jan Baptist",male,29.0
83,3,1,"McDermott, Miss. Brigdet Delia",female,33.2
84,1,0,"Carrau, Mr. Francisco M",male,28.0
85,2,1,"Ilett, Miss. Bertha",female,17.0
86,3,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0
87,3,0,"Ford, Mr. William Neal",male,16.0
88,3,0,"Slocovski, Mr. Selman Francis",male,33.2
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0
90,3,0,"Celotti, Mr. Francesco",male,24.0
91,3,0,"Christmann, Mr. Emil",male,29.0
92,3,0,"Andreasson, Mr. Paul Edvin",male,20.0
93,1,0,"Chaffee, Mr. Herbert Fuller",male,46.0
94,3,0,"Dean, Mr. Bertram Frank",male,26.0
95,3,0,"Coxon, Mr. Daniel",male,59.0
96,3,0,"Shorney, Mr. Charles Joseph",male,33.2
97,1,0,"Goldschmidt, Mr. George B",male,71.0
98,1,1,"Greenfield, Mr. William Bertram",male,23.0
99,2,1,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0
100,2,0,"Kantor, Mr. Sinai",male,34.0
101,3,0,"Petranec, Miss. Matilda",female,28.0
102,3,0,"Petroff, Mr. Pastcho (""Pentcho"")",male,33.2
103,1,0,"White, Mr. Richard Frasar",male,21.0
104,3,0,"Johansson, Mr. Gustaf Joel",male,33.0
105,3,0,"Gustafsson, Mr. Anders Vilhelm",male,37.0
106,3,0,"Mionoff, Mr. Stoytcho",male,28.0
107,3,1,"Salkjelsvik, Miss. Anna Kristine",female,21.0
108,3,1,"Moss, Mr. Albert Johan",male,33.2
109,3,0,"Rekic, Mr. Tido",male,38.0
110,3,1,"Moran, Miss. Bertha",female,33.2
111,1,0,"Porter, Mr. Walter Chamberlain",male,47.0
112,3,0,"Zabour, Miss. Hileni",female,14.5
113,3,0,"Barton, Mr. David John",male,22.0
114,3,0,"Jussila, Miss. Katriina",female,20.0
115,3,0,"Attalah, Miss. Malake",female,17.0
116,3,0,"Pekoniemi, Mr. Edvard",male,21.0
117,3,0,"Connors, Mr. Patrick",male,70.5
118,2,0,"Turpin, Mr. William John Robert",male,29.0
119,1,0,"Baxter, Mr. Quigg Edmond",male,24.0
120,3,0,"Andersson, Miss. Ellis Anna Maria",female,2.0
121,2,0,"Hickman, Mr. Stanley George",male,21.0
122,3,0,"Moore, Mr. Leonard Charles",male,33.2
123,2,0,"Nasser, Mr. Nicholas",male,32.5
124,2,1,"Webber, Miss. Susan",female,32.5
125,1,0,"White, Mr. Percival Wayland",male,54.0
126,3,1,"Nicola-Yarred, Master. Elias",male,12.0
127,3,0,"McMahon, Mr. Martin",male,33.2
128,3,1,"Madsen, Mr. Fridtjof Arne",male,24.0
129,3,1,"Peter, Miss. Anna",female,33.2
130,3,0,"Ekstrom, Mr. Johan",male,45.0
131,3,0,"Drazenoic, Mr. Jozef",male,33.0
132,3,0,"Coelho, Mr. Domingos Fernandeo",male,20.0
133,3,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0
134,2,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0
135,2,0,"Sobey, Mr. Samuel James Hayden",male,25.0
136,2,0,"Richard, Mr. Emile",male,23.0
137,1,1,"Newsom, Miss. Helen Monypeny",female,19.0
138,1,0,"Futrelle, Mr. Jacques Heath",male,37.0
139,3,0,"Osen, Mr. Olaf Elon",male,16.0
140,1,0,"Giglio, Mr. Victor",male,24.0
141,3,0,"Boulos, Mrs. Joseph (Sultana)",female,33.2
142,3,1,"Nysten, Miss. Anna Sofia",female,22.0
143,3,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0
144,3,0,"Burke, Mr. Jeremiah",male,19.0
145,2,0,"Andrew, Mr. Edgardo Samuel",male,18.0
146,2,0,"Nicholls, Mr. Joseph Charles",male,19.0
147,3,1,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0
148,3,0,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0
149,2,0,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5
150,2,0,"Byles, Rev. Thomas Roussel Davids",male,42.0
151,2,0,"Bateman, Rev. Robert James",male,51.0
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0
153,3,0,"Meo, Mr. Alfonzo",male,55.5
154,3,0,"van Billiard, Mr. Austin Blyler",male,40.5
155,3,0,"Olsen, Mr. Ole Martin",male,33.2
156,1,0,"Williams, Mr. Charles Duane",male,51.0
157,3,1,"Gilnagh, Miss. Katherine ""Katie""",female,16.0
158,3,0,"Corn, Mr. Harry",male,30.0
159,3,0,"Smiljanic, Mr. Mile",male,33.2
160,3,0,"Sage, Master. Thomas Henry",male,33.2
161,3,0,"Cribb, Mr. John Hatfield",male,44.0
162,2,1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0
163,3,0,"Bengtsson, Mr. John Viktor",male,26.0
164,3,0,"Calic, Mr. Jovo",male,17.0
165,3,0,"Panula, Master. Eino Viljami",male,1.0
166,3,1,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,33.2
168,3,0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0
169,1,0,"Baumann, Mr. John D",male,33.2
170,3,0,"Ling, Mr. Lee",male,28.0
171,1,0,"Van der hoef, Mr. Wyckoff",male,61.0
172,3,0,"Rice, Master. Arthur",male,4.0
173,3,1,"Johnson, Miss. Eleanor Ileen",female,1.0
174,3,0,"Sivola, Mr. Antti Wilhelm",male,21.0
175,1,0,"Smith, Mr. James Clinch",male,56.0
176,3,0,"Klasen, Mr. Klas Albin",male,18.0
177,3,0,"Lefebre, Master. Henry Forbes",male,33.2
178,1,0,"Isham, Miss. Ann Elizabeth",female,50.0
179,2,0,"Hale, Mr. Reginald",male,30.0
180,3,0,"Leonard, Mr. Lionel",male,36.0
181,3,0,"Sage, Miss. Constance Gladys",female,33.2
182,2,0,"Pernot, Mr. Rene",male,33.2
183,3,0,"Asplund, Master. Clarence Gustaf Hugo",male,9.0
184,2,1,"Becker, Master. Richard F",male,1.0
185,3,1,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0
186,1,0,"Rood, Mr. Hugh Roscoe",male,33.2
187,3,1,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,33.2
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0
189,3,0,"Bourke, Mr. John",male,40.0
190,3,0,"Turcin, Mr. Stjepan",male,36.0
191,2,1,"Pinsky, Mrs. (Rosa)",female,32.0
192,2,0,"Carbines, Mr. William",male,19.0
193,3,1,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0
194,2,1,"Navratil, Master. Michel M",male,3.0
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0
196,1,1,"Lurette, Miss. Elise",female,58.0
197,3,0,"Mernagh, Mr. Robert",male,33.2
198,3,0,"Olsen, Mr. Karl Siegwart Andreas",male,42.0
199,3,1,"Madigan, Miss. Margaret ""Maggie""",female,33.2
200,2,0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0
201,3,0,"Vande Walle, Mr. Nestor Cyriel",male,28.0
202,3,0,"Sage, Mr. Frederick",male,33.2
203,3,0,"Johanson, Mr. Jakob Alfred",male,34.0
204,3,0,"Youseff, Mr. Gerious",male,45.5
205,3,1,"Cohen, Mr. Gurshon ""Gus""",male,18.0
206,3,0,"Strom, Miss. Telma Matilda",female,2.0
207,3,0,"Backstrom, Mr. Karl Alfred",male,32.0
208,3,1,"Albimona, Mr. Nassef Cassem",male,26.0
209,3,1,"Carr, Miss. Helen ""Ellen""",female,16.0
210,1,1,"Blank, Mr. Henry",male,40.0
211,3,0,"Ali, Mr. Ahmed",male,24.0
212,2,1,"Cameron, Miss. Clear Annie",female,35.0
213,3,0,"Perkin, Mr. John Henry",male,22.0
214,2,0,"Givard, Mr. Hans Kristensen",male,30.0
215,3,0,"Kiernan, Mr. Philip",male,33.2
216,1,1,"Newell, Miss. Madeleine",female,31.0
217,3,1,"Honkanen, Miss. Eliina",female,27.0
218,2,0,"Jacobsohn, Mr. Sidney Samuel",male,42.0
219,1,1,"Bazzani, Miss. Albina",female,32.0
220,2,0,"Harris, Mr. Walter",male,30.0
221,3,1,"Sunderland, Mr. Victor Francis",male,16.0
222,2,0,"Bracken, Mr. James H",male,27.0
223,3,0,"Green, Mr. George Henry",male,51.0
224,3,0,"Nenkoff, Mr. Christo",male,33.2
225,1,1,"Hoyt, Mr. Frederick Maxfield",male,38.0
226,3,0,"Berglund, Mr. Karl Ivar Sven",male,22.0
227,2,1,"Mellors, Mr. William John",male,19.0
228,3,0,"Lovell, Mr. John Hall (""Henry"")",male,20.5
229,2,0,"Fahlstrom, Mr. Arne Jonas",male,18.0
230,3,0,"Lefebre, Miss. Mathilde",female,33.2
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0
232,3,0,"Larsson, Mr. Bengt Edvin",male,29.0
233,2,0,"Sjostedt, Mr. Ernst Adolf",male,59.0
234,3,1,"Asplund, Miss. Lillian Gertrud",female,5.0
235,2,0,"Leyson, Mr. Robert William Norman",male,24.0
236,3,0,"Harknett, Miss. Alice Phoebe",female,33.2
237,2,0,"Hold, Mr. Stephen",male,44.0
238,2,1,"Collyer, Miss. Marjorie ""Lottie""",female,8.0
239,2,0,"Pengelly, Mr. Frederick William",male,19.0
240,2,0,"Hunt, Mr. George Henry",male,33.0
241,3,0,"Zabour, Miss. Thamine",female,33.2
242,3,1,"Murphy, Miss. Katherine ""Kate""",female,33.2
243,2,0,"Coleridge, Mr. Reginald Charles",male,29.0
244,3,0,"Maenpaa, Mr. Matti Alexanteri",male,22.0
245,3,0,"Attalah, Mr. Sleiman",male,30.0
246,1,0,"Minahan, Dr. William Edward",male,44.0
247,3,0,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0
248,2,1,"Hamalainen, Mrs. William (Anna)",female,24.0
249,1,1,"Beckwith, Mr. Richard Leonard",male,37.0
250,2,0,"Carter, Rev. Ernest Courtenay",male,54.0
251,3,0,"Reed, Mr. James George",male,33.2
252,3,0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0
253,1,0,"Stead, Mr. William Thomas",male,62.0
254,3,0,"Lobb, Mr. William Arthur",male,30.0
255,3,0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0
256,3,1,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0
257,1,1,"Thorne, Mrs. Gertrude Maybelle",female,33.2
258,1,1,"Cherry, Miss. Gladys",female,30.0
259,1,1,"Ward, Miss. Anna",female,35.0
260,2,1,"Parrish, Mrs. (Lutie Davis)",female,50.0
261,3,0,"Smith, Mr. Thomas",male,33.2
262,3,1,"Asplund, Master. Edvin Rojj Felix",male,3.0
263,1,0,"Taussig, Mr. Emil",male,52.0
264,1,0,"Harrison, Mr. William",male,40.0
265,3,0,"Henry, Miss. Delia",female,33.2
266,2,0,"Reeves, Mr. David",male,36.0
267,3,0,"Panula, Mr. Ernesti Arvid",male,16.0
268,3,1,"Persson, Mr. Ernst Ulrik",male,25.0
269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0
270,1,1,"Bissette, Miss. Amelia",female,35.0
271,1,0,"Cairns, Mr. Alexander",male,33.2
272,3,1,"Tornquist, Mr. William Henry",male,25.0
273,2,1,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0
274,1,0,"Natsch, Mr. Charles H",male,37.0
275,3,1,"Healy, Miss. Hanora ""Nora""",female,33.2
276,1,1,"Andrews, Miss. Kornelia Theodosia",female,63.0
277,3,0,"Lindblom, Miss. Augusta Charlotta",female,45.0
278,2,0,"Parkes, Mr. Francis ""Frank""",male,33.2
279,3,0,"Rice, Master. Eric",male,7.0
280,3,1,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35.0
281,3,0,"Duane, Mr. Frank",male,65.0
282,3,0,"Olsson, Mr. Nils Johan Goransson",male,28.0
283,3,0,"de Pelsmaeker, Mr. Alfons",male,16.0
284,3,1,"Dorking, Mr. Edward Arthur",male,19.0
285,1,0,"Smith, Mr. Richard William",male,33.2
286,3,0,"Stankovic, Mr. Ivan",male,33.0
287,3,1,"de Mulder, Mr. Theodore",male,30.0
288,3,0,"Naidenoff, Mr. Penko",male,22.0
289,2,1,"Hosono, Mr. Masabumi",male,42.0
290,3,1,"Connolly, Miss. Kate",female,22.0
291,1,1,"Barber, Miss. Ellen ""Nellie""",female,26.0
292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0
293,2,0,"Levy, Mr. Rene Jacques",male,36.0
294,3,0,"Haas, Miss. Aloisia",female,24.0
295,3,0,"Mineff, Mr. Ivan",male,24.0
296,1,0,"Lewy, Mr. Ervin G",male,33.2
297,3,0,"Hanna, Mr. Mansour",male,23.5
298,1,0,"Allison, Miss. Helen Loraine",female,2.0
299,1,1,"Saalfeld, Mr. Adolphe",male,33.2
300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0
301,3,1,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,33.2
302,3,1,"McCoy, Mr. Bernard",male,33.2
303,3,0,"Johnson, Mr. William Cahoone Jr",male,19.0
304,2,1,"Keane, Miss. Nora A",female,33.2
305,3,0,"Williams, Mr. Howard Hugh ""Harry""",male,33.2
306,1,1,"Allison, Master. Hudson Trevor",male,0.92
307,1,1,"Fleming, Miss. Margaret",female,33.2
308,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0
309,2,0,"Abelson, Mr. Samuel",male,30.0
310,1,1,"Francatelli, Miss. Laura Mabel",female,30.0
311,1,1,"Hays, Miss. Margaret Bechstein",female,24.0
312,1,1,"Ryerson, Miss. Emily Borie",female,18.0
313,2,0,"Lahtinen, Mrs. William (Anna Sylfven)",female,26.0
314,3,0,"Hendekovic, Mr. Ignjac",male,28.0
315,2,0,"Hart, Mr. Benjamin",male,43.0
316,3,1,"Nilsson, Miss. Helmina Josefina",female,26.0
317,2,1,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.0
318,2,0,"Moraweck, Dr. Ernest",male,54.0
319,1,1,"Wick, Miss. Mary Natalie",female,31.0
320,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0
321,3,0,"Dennis, Mr. Samuel",male,22.0
322,3,0,"Danoff, Mr. Yoto",male,27.0
323,2,1,"Slayter, Miss. Hilda Mary",female,30.0
324,2,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0
325,3,0,"Sage, Mr. George John Jr",male,33.2
326,1,1,"Young, Miss. Marie Grice",female,36.0
327,3,0,"Nysveen, Mr. Johan Hansen",male,61.0
328,2,1,"Ball, Mrs. (Ada E Hall)",female,36.0
329,3,1,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31.0
330,1,1,"Hippach, Miss. Jean Gertrude",female,16.0
331,3,1,"McCoy, Miss. Agnes",female,33.2
332,1,0,"Partner, Mr. Austen",male,45.5
333,1,0,"Graham, Mr. George Edward",male,38.0
334,3,0,"Vander Planke, Mr. Leo Edmondus",male,16.0
335,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,33.2
336,3,0,"Denkoff, Mr. Mitto",male,33.2
337,1,0,"Pears, Mr. Thomas Clinton",male,29.0
338,1,1,"Burns, Miss. Elizabeth Margaret",female,41.0
339,3,1,"Dahl, Mr. Karl Edwart",male,45.0
340,1,0,"Blackwell, Mr. Stephen Weart",male,45.0
341,2,1,"Navratil, Master. Edmond Roger",male,2.0
342,1,1,"Fortune, Miss. Alice Elizabeth",female,24.0
343,2,0,"Collander, Mr. Erik Gustaf",male,28.0
344,2,0,"Sedgwick, Mr. Charles Frederick Waddington",male,25.0
345,2,0,"Fox, Mr. Stanley Hubert",male,36.0
346,2,1,"Brown, Miss. Amelia ""Mildred""",female,24.0
347,2,1,"Smith, Miss. Marion Elsie",female,40.0
348,3,1,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,33.2
349,3,1,"Coutts, Master. William Loch ""William""",male,3.0
350,3,0,"Dimic, Mr. Jovan",male,42.0
351,3,0,"Odahl, Mr. Nils Martin",male,23.0
352,1,0,"Williams-Lambert, Mr. Fletcher Fellows",male,33.2
353,3,0,"Elias, Mr. Tannous",male,15.0
354,3,0,"Arnold-Franchi, Mr. Josef",male,25.0
355,3,0,"Yousif, Mr. Wazli",male,33.2
356,3,0,"Vanden Steen, Mr. Leo Peter",male,28.0
357,1,1,"Bowerman, Miss. Elsie Edith",female,22.0
358,2,0,"Funk, Miss. Annie Clemmer",female,38.0
359,3,1,"McGovern, Miss. Mary",female,33.2
360,3,1,"Mockler, Miss. Helen Mary ""Ellie""",female,33.2
361,3,0,"Skoog, Mr. Wilhelm",male,40.0
362,2,0,"del Carlo, Mr. Sebastiano",male,29.0
363,3,0,"Barbara, Mrs. (Catherine David)",female,45.0
364,3,0,"Asim, Mr. Adola",male,35.0
365,3,0,"O'Brien, Mr. Thomas",male,33.2
366,3,0,"Adahl, Mr. Mauritz Nils Martin",male,30.0
367,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0
368,3,1,"Moussa, Mrs. (Mantoura Boulos)",female,33.2
369,3,1,"Jermyn, Miss. Annie",female,33.2
370,1,1,"Aubart, Mme. Leontine Pauline",female,24.0
371,1,1,"Harder, Mr. George Achilles",male,25.0
372,3,0,"Wiklund, Mr. Jakob Alfred",male,18.0
373,3,0,"Beavan, Mr. William Thomas",male,19.0
374,1,0,"Ringhini, Mr. Sante",male,22.0
375,3,0,"Palsson, Miss. Stina Viola",female,3.0
376,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,33.2
377,3,1,"Landergren, Miss. Aurora Adelia",female,22.0
378,1,0,"Widener, Mr. Harry Elkins",male,27.0
379,3,0,"Betros, Mr. Tannous",male,20.0
380,3,0,"Gustafsson, Mr. Karl Gideon",male,19.0
381,1,1,"Bidois, Miss. Rosalie",female,42.0
382,3,1,"Nakid, Miss. Maria (""Mary"")",female,1.0
383,3,0,"Tikkanen, Mr. Juho",male,32.0
384,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0
385,3,0,"Plotcharsky, Mr. Vasil",male,33.2
386,2,0,"Davies, Mr. Charles Henry",male,18.0
387,3,0,"Goodwin, Master. Sidney Leonard",male,1.0
388,2,1,"Buss, Miss. Kate",female,36.0
389,3,0,"Sadlier, Mr. Matthew",male,33.2
390,2,1,"Lehmann, Miss. Bertha",female,17.0
391,1,1,"Carter, Mr. William Ernest",male,36.0
392,3,1,"Jansson, Mr. Carl Olof",male,21.0
393,3,0,"Gustafsson, Mr. Johan Birger",male,28.0
394,1,1,"Newell, Miss. Marjorie",female,23.0
395,3,1,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24.0
396,3,0,"Johansson, Mr. Erik",male,22.0
397,3,0,"Olsson, Miss. Elina",female,31.0
398,2,0,"McKane, Mr. Peter David",male,46.0
399,2,0,"Pain, Dr. Alfred",male,23.0
400,2,1,"Trout, Mrs. William H (Jessie L)",female,28.0
401,3,1,"Niskanen, Mr. Juha",male,39.0
402,3,0,"Adams, Mr. John",male,26.0
403,3,0,"Jussila, Miss. Mari Aina",female,21.0
404,3,0,"Hakkarainen, Mr. Pekka Pietari",male,28.0
405,3,0,"Oreskovic, Miss. Marija",female,20.0
406,2,0,"Gale, Mr. Shadrach",male,34.0
407,3,0,"Widegren, Mr. Carl/Charles Peter",male,51.0
408,2,1,"Richards, Master. William Rowe",male,3.0
409,3,0,"Birkeland, Mr. Hans Martin Monsen",male,21.0
410,3,0,"Lefebre, Miss. Ida",female,33.2
411,3,0,"Sdycoff, Mr. Todor",male,33.2
412,3,0,"Hart, Mr. Henry",male,33.2
413,1,1,"Minahan, Miss. Daisy E",female,33.0
414,2,0,"Cunningham, Mr. Alfred Fleming",male,33.2
415,3,1,"Sundman, Mr. Johan Julian",male,44.0
416,3,0,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,33.2
417,2,1,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34.0
418,2,1,"Silven, Miss. Lyyli Karoliina",female,18.0
419,2,0,"Matthews, Mr. William John",male,30.0
420,3,0,"Van Impe, Miss. Catharina",female,10.0
421,3,0,"Gheorgheff, Mr. Stanio",male,33.2
422,3,0,"Charters, Mr. David",male,21.0
423,3,0,"Zimmerman, Mr. Leo",male,29.0
424,3,0,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28.0
425,3,0,"Rosblom, Mr. Viktor Richard",male,18.0
426,3,0,"Wiseman, Mr. Phillippe",male,33.2
427,2,1,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28.0
428,2,1,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,19.0
429,3,0,"Flynn, Mr. James",male,33.2
430,3,1,"Pickard, Mr. Berk (Berk Trembisky)",male,32.0
431,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0
432,3,1,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,33.2
433,2,1,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42.0
434,3,0,"Kallio, Mr. Nikolai Erland",male,17.0
435,1,0,"Silvey, Mr. William Baird",male,50.0
436,1,1,"Carter, Miss. Lucile Polk",female,14.0
437,3,0,"Ford, Miss. Doolina Margaret ""Daisy""",female,21.0
438,2,1,"Richards, Mrs. Sidney (Emily Hocking)",female,24.0
439,1,0,"Fortune, Mr. Mark",male,64.0
440,2,0,"Kvillner, Mr. Johan Henrik Johannesson",male,31.0
441,2,1,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45.0
442,3,0,"Hampe, Mr. Leon",male,20.0
443,3,0,"Petterson, Mr. Johan Emil",male,25.0
444,2,1,"Reynaldo, Ms. Encarnacion",female,28.0
445,3,1,"Johannesen-Bratthammer, Mr. Bernt",male,33.2
446,1,1,"Dodge, Master. Washington",male,4.0
447,2,1,"Mellinger, Miss. Madeleine Violet",female,13.0
448,1,1,"Seward, Mr. Frederic Kimber",male,34.0
449,3,1,"Baclini, Miss. Marie Catherine",female,5.0
450,1,1,"Peuchen, Major. Arthur Godfrey",male,52.0
451,2,0,"West, Mr. Edwy Arthur",male,36.0
