Pclass,Sex,Survived,PassengerId,Name,Age
3,female,1,33,"Glynn, Miss. Mary Agatha",33.2
2,male,0,34,"Wheadon, Mr. Edward H",66.0
1,male,0,35,"Meyer, Mr. Edgar Joseph",28.0
1,male,0,36,"Holverson, Mr. Alexander Oskar",42.0
3,male,1,37,"Mamee, Mr. Hanna",33.2
3,male,0,38,"Cann, Mr. Ernest Charles",21.0
3,female,0,39,"Vander Planke, Miss. Augusta Maria",18.0
3,female,1,40,"Nicola-Yarred, Miss. Jamila",14.0
3,female,0,41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0
2,female,0,42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27.0
3,male,0,43,"Kraeff, Mr. Theodor",33.2
2,female,1,44,"Laroche, Miss. Simonne Marie Anne Andree",3.0
3,female,1,45,"Devaney, Miss. Margaret Delia",19.0
3,male,0,46,"Rogers, Mr. William John",33.2
3,male,0,47,"Lennon, Mr. Denis",33.2
3,female,1,48,"O'Driscoll, Miss. Bridget",33.2
3,male,0,49,"Samaan, Mr. Youssef",33.2
3,female,0,50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0
3,male,0,51,"Panula, Master. Juha Niilo",7.0
3,male,0,52,"Nosworthy, Mr. Richard Cater",21.0
1,female,1,53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0
2,female,1,54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0
1,male,0,55,"Ostby, Mr. Engelhart Cornelius",65.0
1,male,1,56,"Woolner, Mr. Hugh",33.2
2,female,1,57,"Rugg, Miss. Emily",21.0
3,male,0,58,"Novel, Mr. Mansouer",28.5
2,female,1,59,"West, Miss. Constance Mirium",5.0
3,male,0,60,"Goodwin, Master. William Frederick",11.0
3,male,0,61,"Sirayanian, Mr. Orsen",22.0
1,female,1,62,"Icard, Miss. Amelie",38.0
1,male,0,63,"Harris, Mr. Henry Birkhardt",45.0
3,male,0,64,"Skoog, Master. Harald",4.0
1,male,0,65,"Stewart, Mr. Albert A",33.2
3,male,1,66,"Moubarek, Master. Gerios",33.2
2,female,1,67,"Nye, Mrs. (Elizabeth Ramell)",29.0
3,male,0,68,"Crease, Mr. Ernest James",19.0
3,female,1,69,"Andersson, Miss. Erna Alexandra",17.0
3,male,0,70,"Kink, Mr. Vincenz",26.0
2,male,0,71,"Jenkin, Mr. Stephen Curnow",32.0
3,female,0,72,"Goodwin, Miss. Lillian Amy",16.0
2,male,0,73,"Hood, Mr. Ambrose Jr",21.0
3,male,0,74,"Chronopoulos, Mr. Apostolos",26.0
3,male,1,75,"Bing, Mr. Lee",32.0
3,male,0,76,"Moen, Mr. Sigurd Hansen",25.0
3,male,0,77,"Staneff, Mr. Ivan",33.2
3,male,0,78,"Moutal, Mr. Rahamin Haim",33.2
2,male,1,79,"Caldwell, Master. Alden Gates",0.83
3,female,1,80,"Dowdell, Miss. Elizabeth",30.0
3,male,0,81,"Waelens, Mr. Achille",22.0
3,male,1,82,"Sheerlinck, Mr. Jan Baptist",29.0
3,female,1,83,"McDermott, Miss. Brigdet Delia",33.2
1,male,0,84,"Carrau, Mr. Francisco M",28.0
2,female,1,85,"Ilett, Miss. Bertha",17.0
3,female,1,86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.0
3,male,0,87,"Ford, Mr. William Neal",16.0
3,male,0,88,"Slocovski, Mr. Selman Francis",33.2
1,female,1,89,"Fortune, Miss. Mabel Helen",23.0
3,male,0,90,"Celotti, Mr. Francesco",24.0
3,male,0,91,"Christmann, Mr. Emil",29.0
3,male,0,92,"Andreasson, Mr. Paul Edvin",20.0
1,male,0,93,"Chaffee, Mr. Herbert Fuller",46.0
3,male,0,94,"Dean, Mr. Bertram Frank",26.0
3,male,0,95,"Coxon, Mr. Daniel",59.0
3,male,0,96,"Shorney, Mr. Charles Joseph",33.2
1,male,0,97,"Goldschmidt, Mr. George B",71.0
1,male,1,98,"Greenfield, Mr. William Bertram",23.0
2,female,1,99,"Doling, Mrs. John T (Ada Julia Bone)",34.0
2,male,0,100,"Kantor, Mr. Sinai",34.0
3,female,0,101,"Petranec, Miss. Matilda",28.0
3,male,0,102,"Petroff, Mr. Pastcho (""Pentcho"")",33.2
1,male,0,103,"White, Mr. Richard Frasar",21.0
3,male,0,104,"Johansson, Mr. Gustaf Joel",33.0
3,male,0,105,"Gustafsson, Mr. Anders Vilhelm",37.0
3,male,0,106,"Mionoff, Mr. Stoytcho",28.0
3,female,1,107,"Salkjelsvik, Miss. Anna Kristine",21.0
3,male,1,108,"Moss, Mr. Albert Johan",33.2
3,male,0,109,"Rekic, Mr. Tido",38.0
3,female,1,110,"Moran, Miss. Bertha",33.2
1,male,0,111,"Porter, Mr. Walter Chamberlain",47.0
3,female,0,112,"Zabour, Miss. Hileni",14.5
3,male,0,113,"Barton, Mr. David John",22.0
3,female,0,114,"Jussila, Miss. Katriina",20.0
3,female,0,115,"Attalah, Miss. Malake",17.0
3,male,0,116,"Pekoniemi, Mr. Edvard",21.0
3,male,0,117,"Connors, Mr. Patrick",70.5
2,male,0,118,"Turpin, Mr. William John Robert",29.0
1,male,0,119,"Baxter, Mr. Quigg Edmond",24.0
3,female,0,120,"Andersson, Miss. Ellis Anna Maria",2.0
2,male,0,121,"Hickman, Mr. Stanley George",21.0
3,male,0,122,"Moore, Mr. Leonard Charles",33.2
2,male,0,123,"Nasser, Mr. Nicholas",32.5
2,female,1,124,"Webber, Miss. Susan",32.5
1,male,0,125,"White, Mr. Percival Wayland",54.0
3,male,1,126,"Nicola-Yarred, Master. Elias",12.0
3,male,0,127,"McMahon, Mr. Martin",33.2
3,male,1,128,"Madsen, Mr. Fridtjof Arne",24.0
3,female,1,129,"Peter, Miss. Anna",33.2
3,male,0,130,"Ekstrom, Mr. Johan",45.0
3,male,0,131,"Drazenoic, Mr. Jozef",33.0
3,male,0,132,"Coelho, Mr. Domingos Fernandeo",20.0
3,female,0,133,"Robins, Mrs. Alexander A (Grace Charity Laury)",47.0
2,female,1,134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.0
2,male,0,135,"Sobey, Mr. Samuel James Hayden",25.0
2,male,0,136,"Richard, Mr. Emile",23.0
1,female,1,137,"Newsom, Miss. Helen Monypeny",19.0
1,male,0,138,"Futrelle, Mr. Jacques Heath",37.0
3,male,0,139,"Osen, Mr. Olaf Elon",16.0
1,male,0,140,"Giglio, Mr. Victor",24.0
3,female,0,141,"Boulos, Mrs. Joseph (Sultana)",33.2
3,female,1,142,"Nysten, Miss. Anna Sofia",22.0
3,female,1,143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24.0
3,male,0,144,"Burke, Mr. Jeremiah",19.0
2,male,0,145,"Andrew, Mr. Edgardo Samuel",18.0
2,male,0,146,"Nicholls, Mr. Joseph Charles",19.0
3,male,1,147,"Andersson, Mr. August Edvard (""Wennerstrom"")",27.0
3,female,0,148,"Ford, Miss. Robina Maggie ""Ruby""",9.0
2,male,0,149,"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5
2,male,0,150,"Byles, Rev. Thomas Roussel Davids",42.0
2,male,0,151,"Bateman, Rev. Robert James",51.0
1,female,1,152,"Pears, Mrs. Thomas (Edith Wearne)",22.0
3,male,0,153,"Meo, Mr. Alfonzo",55.5
3,male,0,154,"van Billiard, Mr. Austin Blyler",40.5
3,male,0,155,"Olsen, Mr. Ole Martin",33.2
1,male,0,156,"Williams, Mr. Charles Duane",51.0
3,female,1,157,"Gilnagh, Miss. Katherine ""Katie""",16.0
3,male,0,158,"Corn, Mr. Harry",30.0
3,male,0,159,"Smiljanic, Mr. Mile",33.2
3,male,0,160,"Sage, Master. Thomas Henry",33.2
3,male,0,161,"Cribb, Mr. John Hatfield",44.0
2,female,1,162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",40.0
3,male,0,163,"Bengtsson, Mr. John Viktor",26.0
3,male,0,164,"Calic, Mr. Jovo",17.0
3,male,0,165,"Panula, Master. Eino Viljami",1.0
3,male,1,166,"Goldsmith, Master. Frank John William ""Frankie""",9.0
1,female,1,167,"Chibnall, Mrs. (Edith Martha Bowerman)",33.2
3,female,0,168,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",45.0
1,male,0,169,"Baumann, Mr. John D",33.2
3,male,0,170,"Ling, Mr. Lee",28.0
1,male,0,171,"Van der hoef, Mr. Wyckoff",61.0
3,male,0,172,"Rice, Master. Arthur",4.0
3,female,1,173,"Johnson, Miss. Eleanor Ileen",1.0
3,male,0,174,"Sivola, Mr. Antti Wilhelm",21.0
1,male,0,175,"Smith, Mr. James Clinch",56.0
3,male,0,176,"Klasen, Mr. Klas Albin",18.0
3,male,0,177,"Lefebre, Master. Henry Forbes",33.2
1,female,0,178,"Isham, Miss. Ann Elizabeth",50.0
2,male,0,179,"Hale, Mr. Reginald",30.0
3,male,0,180,"Leonard, Mr. Lionel",36.0
3,female,0,181,"Sage, Miss. Constance Gladys",33.2
2,male,0,182,"Pernot, Mr. Rene",33.2
3,male,0,183,"Asplund, Master. Clarence Gustaf Hugo",9.0
2,male,1,184,"Becker, Master. Richard F",1.0
3,female,1,185,"Kink-Heilmann, Miss. Luise Gretchen",4.0
1,male,0,186,"Rood, Mr. Hugh Roscoe",33.2
3,female,1,187,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",33.2
1,male,1,188,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",45.0
3,male,0,189,"Bourke, Mr. John",40.0
3,male,0,190,"Turcin, Mr. Stjepan",36.0
2,female,1,191,"Pinsky, Mrs. (Rosa)",32.0
2,male,0,192,"Carbines, Mr. William",19.0
3,female,1,193,"Andersen-Jensen, Miss. Carla Christine Nielsine",19.0
2,male,1,194,"Navratil, Master. Michel M",3.0
1,female,1,195,"Brown, Mrs. James Joseph (Margaret Tobin)",44.0
1,female,1,196,"Lurette, Miss. Elise",58.0
3,male,0,197,"Mernagh, Mr. Robert",33.2
3,male,0,198,"Olsen, Mr. Karl Siegwart Andreas",42.0
3,female,1,199,"Madigan, Miss. Margaret ""Maggie""",33.2
2,female,0,200,"Yrois, Miss. Henriette (""Mrs Harbeck"")",24.0
3,male,0,201,"Vande Walle, Mr. Nestor Cyriel",28.0
3,male,0,202,"Sage, Mr. Frederick",33.2
3,male,0,203,"Johanson, Mr. Jakob Alfred",34.0
3,male,0,204,"Youseff, Mr. Gerious",45.5
3,male,1,205,"Cohen, Mr. Gurshon ""Gus""",18.0
3,female,0,206,"Strom, Miss. Telma Matilda",2.0
3,male,0,207,"Backstrom, Mr. Karl Alfred",32.0
3,male,1,208,"Albimona, Mr. Nassef Cassem",26.0
3,female,1,209,"Carr, Miss. Helen ""Ellen""",16.0
1,male,1,210,"Blank, Mr. Henry",40.0
3,male,0,211,"Ali, Mr. Ahmed",24.0
2,female,1,212,"Cameron, Miss. Clear Annie",35.0
3,male,0,213,"Perkin, Mr. John Henry",22.0
2,male,0,214,"Givard, Mr. Hans Kristensen",30.0
3,male,0,215,"Kiernan, Mr. Philip",33.2
1,female,1,216,"Newell, Miss. Madeleine",31.0
3,female,1,217,"Honkanen, Miss. Eliina",27.0
2,male,0,218,"Jacobsohn, Mr. Sidney Samuel",42.0
1,female,1,219,"Bazzani, Miss. Albina",32.0
2,male,0,220,"Harris, Mr. Walter",30.0
3,male,1,221,"Sunderland, Mr. Victor Francis",16.0
2,male,0,222,"Bracken, Mr. James H",27.0
3,male,0,223,"Green, Mr. George Henry",51.0
3,male,0,224,"Nenkoff, Mr. Christo",33.2
1,male,1,225,"Hoyt, Mr. Frederick Maxfield",38.0
3,male,0,226,"Berglund, Mr. Karl Ivar Sven",22.0
2,male,1,227,"Mellors, Mr. William John",19.0
3,male,0,228,"Lovell, Mr. John Hall (""Henry"")",20.5
2,male,0,229,"Fahlstrom, Mr. Arne Jonas",18.0
3,female,0,230,"Lefebre, Miss. Mathilde",33.2
1,female,1,231,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",35.0
3,male,0,232,"Larsson, Mr. Bengt Edvin",29.0
2,male,0,233,"Sjostedt, Mr. Ernst Adolf",59.0
3,female,1,234,"Asplund, Miss. Lillian Gertrud",5.0
2,male,0,235,"Leyson, Mr. Robert William Norman",24.0
3,female,0,236,"Harknett, Miss. Alice Phoebe",33.2
2,male,0,237,"Hold, Mr. Stephen",44.0
2,female,1,238,"Collyer, Miss. Marjorie ""Lottie""",8.0
2,male,0,239,"Pengelly, Mr. Frederick William",19.0
2,male,0,240,"Hunt, Mr. George Henry",33.0
3,female,0,241,"Zabour, Miss. Thamine",33.2
3,female,1,242,"Murphy, Miss. Katherine ""Kate""",33.2
2,male,0,243,"Coleridge, Mr. Reginald Charles",29.0
3,male,0,244,"Maenpaa, Mr. Matti Alexanteri",22.0
3,male,0,245,"Attalah, Mr. Sleiman",30.0
1,male,0,246,"Minahan, Dr. William Edward",44.0
3,female,0,247,"Lindahl, Miss. Agda Thorilda Viktoria",25.0
2,female,1,248,"Hamalainen, Mrs. William (Anna)",24.0
1,male,1,249,"Beckwith, Mr. Richard Leonard",37.0
2,male,0,250,"Carter, Rev. Ernest Courtenay",54.0
3,male,0,251,"Reed, Mr. James George",33.2
3,female,0,252,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",29.0
1,male,0,253,"Stead, Mr. William Thomas",62.0
3,male,0,254,"Lobb, Mr. William Arthur",30.0
3,female,0,255,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",41.0
3,female,1,256,"Touma, Mrs. Darwis (Hanne Youssef Razi)",29.0
1,female,1,257,"Thorne, Mrs. Gertrude Maybelle",33.2
1,female,1,258,"Cherry, Miss. Gladys",30.0
1,female,1,259,"Ward, Miss. Anna",35.0
2,female,1,260,"Parrish, Mrs. (Lutie Davis)",50.0
3,male,0,261,"Smith, Mr. Thomas",33.2
3,male,1,262,"Asplund, Master. Edvin Rojj Felix",3.0
1,male,0,263,"Taussig, Mr. Emil",52.0
1,male,0,264,"Harrison, Mr. William",40.0
3,female,0,265,"Henry, Miss. Delia",33.2
2,male,0,266,"Reeves, Mr. David",36.0
3,male,0,267,"Panula, Mr. Ernesti Arvid",16.0
3,male,1,268,"Persson, Mr. Ernst Ulrik",25.0
1,female,1,269,"Graham, Mrs. William Thompson (Edith Junkins)",58.0
1,female,1,270,"Bissette, Miss. Amelia",35.0
1,male,0,271,"Cairns, Mr. Alexander",33.2
3,male,1,272,"Tornquist, Mr. William Henry",25.0
2,female,1,273,"Mellinger, Mrs. (Elizabeth Anne Maidment)",41.0
1,male,0,274,"Natsch, Mr. Charles H",37.0
3,female,1,275,"Healy, Miss. Hanora ""Nora""",33.2
1,female,1,276,"Andrews, Miss. Kornelia Theodosia",63.0
3,female,0,277,"Lindblom, Miss. Augusta Charlotta",45.0
2,male,0,278,"Parkes, Mr. Francis ""Frank""",33.2
3,male,0,279,"Rice, Master. Eric",7.0
3,female,1,280,"Abbott, Mrs. Stanton (Rosa Hunt)",35.0
3,male,0,281,"Duane, Mr. Frank",65.0
3,male,0,282,"Olsson, Mr. Nils Johan Goransson",28.0
3,male,0,283,"de Pelsmaeker, Mr. Alfons",16.0
3,male,1,284,"Dorking, Mr. Edward Arthur",19.0
1,male,0,285,"Smith, Mr. Richard William",33.2
3,male,0,286,"Stankovic, Mr. Ivan",33.0
3,male,1,287,"de Mulder, Mr. Theodore",30.0
3,male,0,288,"Naidenoff, Mr. Penko",22.0
2,male,1,289,"Hosono, Mr. Masabumi",42.0
3,female,1,290,"Connolly, Miss. Kate",22.0
1,female,1,291,"Barber, Miss. Ellen ""Nellie""",26.0
1,female,1,292,"Bishop, Mrs. Dickinson H (Helen Walton)",19.0
2,male,0,293,"Levy, Mr. Rene Jacques",36.0
3,female,0,294,"Haas, Miss. Aloisia",24.0
3,male,0,295,"Mineff, Mr. Ivan",24.0
1,male,0,296,"Lewy, Mr. Ervin G",33.2
3,male,0,297,"Hanna, Mr. Mansour",23.5
1,female,0,298,"Allison, Miss. Helen Loraine",2.0
1,male,1,299,"Saalfeld, Mr. Adolphe",33.2
1,female,1,300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50.0
3,female,1,301,"Kelly, Miss. Anna Katherine ""Annie Kate""",33.2
3,male,1,302,"McCoy, Mr. Bernard",33.2
3,male,0,303,"Johnson, Mr. William Cahoone Jr",19.0
2,female,1,304,"Keane, Miss. Nora A",33.2
3,male,0,305,"Williams, Mr. Howard Hugh ""Harry""",33.2
1,male,1,306,"Allison, Master. Hudson Trevor",0.92
1,female,1,307,"Fleming, Miss. Margaret",33.2
1,female,1,308,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",17.0
2,male,0,309,"Abelson, Mr. Samuel",30.0
1,female,1,310,"Francatelli, Miss. Laura Mabel",30.0
1,female,1,311,"Hays, Miss. Margaret Bechstein",24.0
1,female,1,312,"Ryerson, Miss. Emily Borie",18.0
2,female,0,313,"Lahtinen, Mrs. William (Anna Sylfven)",26.0
3,male,0,314,"Hendekovic, Mr. Ignjac",28.0
2,male,0,315,"Hart, Mr. Benjamin",43.0
3,female,1,316,"Nilsson, Miss. Helmina Josefina",26.0
2,female,1,317,"Kantor, Mrs. Sinai (Miriam Sternin)",24.0
2,male,0,318,"Moraweck, Dr. Ernest",54.0
1,female,1,319,"Wick, Miss. Mary Natalie",31.0
1,female,1,320,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",40.0
3,male,0,321,"Dennis, Mr. Samuel",22.0
3,male,0,322,"Danoff, Mr. Yoto",27.0
2,female,1,323,"Slayter, Miss. Hilda Mary",30.0
2,female,1,324,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",22.0
3,male,0,325,"Sage, Mr. George John Jr",33.2
1,female,1,326,"Young, Miss. Marie Grice",36.0
3,male,0,327,"Nysveen, Mr. Johan Hansen",61.0
2,female,1,328,"Ball, Mrs. (Ada E Hall)",36.0
3,female,1,329,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",31.0
1,female,1,330,"Hippach, Miss. Jean Gertrude",16.0
3,female,1,331,"McCoy, Miss. Agnes",33.2
1,male,0,332,"Partner, Mr. Austen",45.5
1,male,0,333,"Graham, Mr. George Edward",38.0
3,male,0,334,"Vander Planke, Mr. Leo Edmondus",16.0
1,female,1,335,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",33.2
3,male,0,336,"Denkoff, Mr. Mitto",33.2
1,male,0,337,"Pears, Mr. Thomas Clinton",29.0
1,female,1,338,"Burns, Miss. Elizabeth Margaret",41.0
3,male,1,339,"Dahl, Mr. Karl Edwart",45.0
1,male,0,340,"Blackwell, Mr. Stephen Weart",45.0
2,male,1,341,"Navratil, Master. Edmond Roger",2.0
1,female,1,342,"Fortune, Miss. Alice Elizabeth",24.0
2,male,0,343,"Collander, Mr. Erik Gustaf",28.0
2,male,0,344,"Sedgwick, Mr. Charles Frederick Waddington",25.0
2,male,0,345,"Fox, Mr. Stanley Hubert",36.0
2,female,1,346,"Brown, Miss. Amelia ""Mildred""",24.0
2,female,1,347,"Smith, Miss. Marion Elsie",40.0
3,female,1,348,"Davison, Mrs. Thomas Henry (Mary E Finck)",33.2
3,male,1,349,"Coutts, Master. William Loch ""William""",3.0
3,male,0,350,"Dimic, Mr. Jovan",42.0
3,male,0,351,"Odahl, Mr. Nils Martin",23.0
1,male,0,352,"Williams-Lambert, Mr. Fletcher Fellows",33.2
3,male,0,353,"Elias, Mr. Tannous",15.0
3,male,0,354,"Arnold-Franchi, Mr. Josef",25.0
3,male,0,355,"Yousif, Mr. Wazli",33.2
3,male,0,356,"Vanden Steen, Mr. Leo Peter",28.0
1,female,1,357,"Bowerman, Miss. Elsie Edith",22.0
2,female,0,358,"Funk, Miss. Annie Clemmer",38.0
3,female,1,359,"McGovern, Miss. Mary",33.2
3,female,1,360,"Mockler, Miss. Helen Mary ""Ellie""",33.2
3,male,0,361,"Skoog, Mr. Wilhelm",40.0
2,male,0,362,"del Carlo, Mr. Sebastiano",29.0
3,female,0,363,"Barbara, Mrs. (Catherine David)",45.0
3,male,0,364,"Asim, Mr. Adola",35.0
3,male,0,365,"O'Brien, Mr. Thomas",33.2
3,male,0,366,"Adahl, Mr. Mauritz Nils Martin",30.0
1,female,1,367,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",60.0
3,female,1,368,"Moussa, Mrs. (Mantoura Boulos)",33.2
3,female,1,369,"Jermyn, Miss. Annie",33.2
1,female,1,370,"Aubart, Mme. Leontine Pauline",24.0
1,male,1,371,"Harder, Mr. George Achilles",25.0
3,male,0,372,"Wiklund, Mr. Jakob Alfred",18.0
3,male,0,373,"Beavan, Mr. William Thomas",19.0
1,male,0,374,"Ringhini, Mr. Sante",22.0
3,female,0,375,"Palsson, Miss. Stina Viola",3.0
1,female,1,376,"Meyer, Mrs. Edgar Joseph (Leila Saks)",33.2
3,female,1,377,"Landergren, Miss. Aurora Adelia",22.0
1,male,0,378,"Widener, Mr. Harry Elkins",27.0
3,male,0,379,"Betros, Mr. Tannous",20.0
3,male,0,380,"Gustafsson, Mr. Karl Gideon",19.0
1,female,1,381,"Bidois, Miss. Rosalie",42.0
3,female,1,382,"Nakid, Miss. Maria (""Mary"")",1.0
3,male,0,383,"Tikkanen, Mr. Juho",32.0
1,female,1,384,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",35.0
3,male,0,385,"Plotcharsky, Mr. Vasil",33.2
2,male,0,386,"Davies, Mr. Charles Henry",18.0
3,male,0,387,"Goodwin, Master. Sidney Leonard",1.0
2,female,1,388,"Buss, Miss. Kate",36.0
3,male,0,389,"Sadlier, Mr. Matthew",33.2
2,female,1,390,"Lehmann, Miss. Bertha",17.0
1,male,1,391,"Carter, Mr. William Ernest",36.0
3,male,1,392,"Jansson, Mr. Carl Olof",21.0
3,male,0,393,"Gustafsson, Mr. Johan Birger",28.0
1,female,1,394,"Newell, Miss. Marjorie",23.0
3,female,1,395,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",24.0
3,male,0,396,"Johansson, Mr. Erik",22.0
3,female,0,397,"Olsson, Miss. Elina",31.0
2,male,0,398,"McKane, Mr. Peter David",46.0
2,male,0,399,"Pain, Dr. Alfred",23.0
2,female,1,400,"Trout, Mrs. William H (Jessie L)",28.0
3,male,1,401,"Niskanen, Mr. Juha",39.0
3,male,0,402,"Adams, Mr. John",26.0
3,female,0,403,"Jussila, Miss. Mari Aina",21.0
3,male,0,404,"Hakkarainen, Mr. Pekka Pietari",28.0
3,female,0,405,"Oreskovic, Miss. Marija",20.0
2,male,0,406,"Gale, Mr. Shadrach",34.0
3,male,0,407,"Widegren, Mr. Carl/Charles Peter",51.0
2,male,1,408,"Richards, Master. William Rowe",3.0
3,male,0,409,"Birkeland, Mr. Hans Martin Monsen",21.0
3,female,0,410,"Lefebre, Miss. Ida",33.2
3,male,0,411,"Sdycoff, Mr. Todor",33.2
3,male,0,412,"Hart, Mr. Henry",33.2
1,female,1,413,"Minahan, Miss. Daisy E",33.0
2,male,0,414,"Cunningham, Mr. Alfred Fleming",33.2
3,male,1,415,"Sundman, Mr. Johan Julian",44.0
3,female,0,416,"Meek, Mrs. Thomas (Annie Louise Rowley)",33.2
2,female,1,417,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",34.0
2,female,1,418,"Silven, Miss. Lyyli Karoliina",18.0
2,male,0,419,"Matthews, Mr. William John",30.0
3,female,0,420,"Van Impe, Miss. Catharina",10.0
3,male,0,421,"Gheorgheff, Mr. Stanio",33.2
3,male,0,422,"Charters, Mr. David",21.0
3,male,0,423,"Zimmerman, Mr. Leo",29.0
3,female,0,424,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",28.0
3,male,0,425,"Rosblom, Mr. Viktor Richard",18.0
3,male,0,426,"Wiseman, Mr. Phillippe",33.2
2,female,1,427,"Clarke, Mrs. Charles V (Ada Maria Winfield)",28.0
2,female,1,428,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",19.0
3,male,0,429,"Flynn, Mr. James",33.2
3,male,1,430,"Pickard, Mr. Berk (Berk Trembisky)",32.0
1,male,1,431,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",28.0
3,female,1,432,"Thorneycroft, Mrs. Percival (Florence Kate White)",33.2
2,female,1,433,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",42.0
3,male,0,434,"Kallio, Mr. Nikolai Erland",17.0
1,male,0,435,"Silvey, Mr. William Baird",50.0
1,female,1,436,"Carter, Miss. Lucile Polk",14.0
3,female,0,437,"Ford, Miss. Doolina Margaret ""Daisy""",21.0
2,female,1,438,"Richards, Mrs. Sidney (Emily Hocking)",24.0
1,male,0,439,"Fortune, Mr. Mark",64.0
2,male,0,440,"Kvillner, Mr. Johan Henrik Johannesson",31.0
2,female,1,441,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",45.0
3,male,0,442,"Hampe, Mr. Leon",20.0
3,male,0,443,"Petterson, Mr. Johan Emil",25.0
2,female,1,444,"Reynaldo, Ms. Encarnacion",28.0
3,male,1,445,"Johannesen-Bratthammer, Mr. Bernt",33.2
1,male,1,446,"Dodge, Master. Washington",4.0
2,female,1,447,"Mellinger, Miss. Madeleine Violet",13.0
1,male,1,448,"Seward, Mr. Frederic Kimber",34.0
3,female,1,449,"Baclini, Miss. Marie Catherine",5.0
1,male,1,450,"Peuchen, Major. Arthur Godfrey",52.0
2,male,0,451,"West, Mr. Edwy Arthur",36.0
