Embarked,Survived,PassengerId,Name,Pclass,Sex,Age
S,0,36,"Holverson, Mr. Alexander Oskar",1,male,42.0
C,1,37,"Mamee, Mr. Hanna",3,male,33.2
S,0,38,"Cann, Mr. Ernest Charles",3,male,21.0
S,0,39,"Vander Planke, Miss. Augusta Maria",3,female,18.0
C,1,40,"Nicola-Yarred, Miss. Jamila",3,female,14.0
S,0,41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",3,female,40.0
S,0,42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",2,female,27.0
C,0,43,"Kraeff, Mr. Theodor",3,male,33.2
C,1,44,"Laroche, Miss. Simonne Marie Anne Andree",2,female,3.0
Q,1,45,"Devaney, Miss. Margaret Delia",3,female,19.0
S,0,46,"Rogers, Mr. William John",3,male,33.2
Q,0,47,"Lennon, Mr. Denis",3,male,33.2
Q,1,48,"O'Driscoll, Miss. Bridget",3,female,33.2
C,0,49,"Samaan, Mr. Youssef",3,male,33.2
S,0,50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",3,female,18.0
S,0,51,"Panula, Master. Juha Niilo",3,male,7.0
S,0,52,"Nosworthy, Mr. Richard Cater",3,male,21.0
C,1,53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,female,49.0
S,1,54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",2,female,29.0
C,0,55,"Ostby, Mr. Engelhart Cornelius",1,male,65.0
S,1,56,"Woolner, Mr. Hugh",1,male,33.2
S,1,57,"Rugg, Miss. Emily",2,female,21.0
C,0,58,"Novel, Mr. Mansouer",3,male,28.5
S,1,59,"West, Miss. Constance Mirium",2,female,5.0
S,0,60,"Goodwin, Master. William Frederick",3,male,11.0
C,0,61,"Sirayanian, Mr. Orsen",3,male,22.0
U,1,62,"Icard, Miss. Amelie",1,female,38.0
S,0,63,"Harris, Mr. Henry Birkhardt",1,male,45.0
S,0,64,"Skoog, Master. Harald",3,male,4.0
C,0,65,"Stewart, Mr. Albert A",1,male,33.2
C,1,66,"Moubarek, Master. Gerios",3,male,33.2
S,1,67,"Nye, Mrs. (Elizabeth Ramell)",2,female,29.0
S,0,68,"Crease, Mr. Ernest James",3,male,19.0
S,1,69,"Andersson, Miss. Erna Alexandra",3,female,17.0
S,0,70,"Kink, Mr. Vincenz",3,male,26.0
S,0,71,"Jenkin, Mr. Stephen Curnow",2,male,32.0
S,0,72,"Goodwin, Miss. Lillian Amy",3,female,16.0
S,0,73,"Hood, Mr. Ambrose Jr",2,male,21.0
C,0,74,"Chronopoulos, Mr. Apostolos",3,male,26.0
S,1,75,"Bing, Mr. Lee",3,male,32.0
S,0,76,"Moen, Mr. Sigurd Hansen",3,male,25.0
S,0,77,"Staneff, Mr. Ivan",3,male,33.2
S,0,78,"Moutal, Mr. Rahamin Haim",3,male,33.2
S,1,79,"Caldwell, Master. Alden Gates",2,male,0.83
S,1,80,"Dowdell, Miss. Elizabeth",3,female,30.0
S,0,81,"Waelens, Mr. Achille",3,male,22.0
S,1,82,"Sheerlinck, Mr. Jan Baptist",3,male,29.0
Q,1,83,"McDermott, Miss. Brigdet Delia",3,female,33.2
S,0,84,"Carrau, Mr. Francisco M",1,male,28.0
S,1,85,"Ilett, Miss. Bertha",2,female,17.0
S,1,86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",3,female,33.0
S,0,87,"Ford, Mr. William Neal",3,male,16.0
S,0,88,"Slocovski, Mr. Selman Francis",3,male,33.2
S,1,89,"Fortune, Miss. Mabel Helen",1,female,23.0
S,0,90,"Celotti, Mr. Francesco",3,male,24.0
S,0,91,"Christmann, Mr. Emil",3,male,29.0
S,0,92,"Andreasson, Mr. Paul Edvin",3,male,20.0
S,0,93,"Chaffee, Mr. Herbert Fuller",1,male,46.0
S,0,94,"Dean, Mr. Bertram Frank",3,male,26.0
S,0,95,"Coxon, Mr. Daniel",3,male,59.0
S,0,96,"Shorney, Mr. Charles Joseph",3,male,33.2
C,0,97,"Goldschmidt, Mr. George B",1,male,71.0
C,1,98,"Greenfield, Mr. William Bertram",1,male,23.0
S,1,99,"Doling, Mrs. John T (Ada Julia Bone)",2,female,34.0
S,0,100,"Kantor, Mr. Sinai",2,male,34.0
S,0,101,"Petranec, Miss. Matilda",3,female,28.0
S,0,102,"Petroff, Mr. Pastcho (""Pentcho"")",3,male,33.2
S,0,103,"White, Mr. Richard Frasar",1,male,21.0
S,0,104,"Johansson, Mr. Gustaf Joel",3,male,33.0
S,0,105,"Gustafsson, Mr. Anders Vilhelm",3,male,37.0
S,0,106,"Mionoff, Mr. Stoytcho",3,male,28.0
S,1,107,"Salkjelsvik, Miss. Anna Kristine",3,female,21.0
S,1,108,"Moss, Mr. Albert Johan",3,male,33.2
S,0,109,"Rekic, Mr. Tido",3,male,38.0
Q,1,110,"Moran, Miss. Bertha",3,female,33.2
S,0,111,"Porter, Mr. Walter Chamberlain",1,male,47.0
C,0,112,"Zabour, Miss. Hileni",3,female,14.5
S,0,113,"Barton, Mr. David John",3,male,22.0
S,0,114,"Jussila, Miss. Katriina",3,female,20.0
C,0,115,"Attalah, Miss. Malake",3,female,17.0
S,0,116,"Pekoniemi, Mr. Edvard",3,male,21.0
Q,0,117,"Connors, Mr. Patrick",3,male,70.5
S,0,118,"Turpin, Mr. William John Robert",2,male,29.0
C,0,119,"Baxter, Mr. Quigg Edmond",1,male,24.0
S,0,120,"Andersson, Miss. Ellis Anna Maria",3,female,2.0
S,0,121,"Hickman, Mr. Stanley George",2,male,21.0
S,0,122,"Moore, Mr. Leonard Charles",3,male,33.2
C,0,123,"Nasser, Mr. Nicholas",2,male,32.5
S,1,124,"Webber, Miss. Susan",2,female,32.5
S,0,125,"White, Mr. Percival Wayland",1,male,54.0
C,1,126,"Nicola-Yarred, Master. Elias",3,male,12.0
Q,0,127,"McMahon, Mr. Martin",3,male,33.2
S,1,128,"Madsen, Mr. Fridtjof Arne",3,male,24.0
C,1,129,"Peter, Miss. Anna",3,female,33.2
S,0,130,"Ekstrom, Mr. Johan",3,male,45.0
C,0,131,"Drazenoic, Mr. Jozef",3,male,33.0
S,0,132,"Coelho, Mr. Domingos Fernandeo",3,male,20.0
S,0,133,"Robins, Mrs. Alexander A (Grace Charity Laury)",3,female,47.0
S,1,134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",2,female,29.0
S,0,135,"Sobey, Mr. Samuel James Hayden",2,male,25.0
C,0,136,"Richard, Mr. Emile",2,male,23.0
S,1,137,"Newsom, Miss. Helen Monypeny",1,female,19.0
S,0,138,"Futrelle, Mr. Jacques Heath",1,male,37.0
S,0,139,"Osen, Mr. Olaf Elon",3,male,16.0
C,0,140,"Giglio, Mr. Victor",1,male,24.0
C,0,141,"Boulos, Mrs. Joseph (Sultana)",3,female,33.2
S,1,142,"Nysten, Miss. Anna Sofia",3,female,22.0
S,1,143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",3,female,24.0
Q,0,144,"Burke, Mr. Jeremiah",3,male,19.0
S,0,145,"Andrew, Mr. Edgardo Samuel",2,male,18.0
S,0,146,"Nicholls, Mr. Joseph Charles",2,male,19.0
S,1,147,"Andersson, Mr. August Edvard (""Wennerstrom"")",3,male,27.0
S,0,148,"Ford, Miss. Robina Maggie ""Ruby""",3,female,9.0
S,0,149,"Navratil, Mr. Michel (""Louis M Hoffman"")",2,male,36.5
S,0,150,"Byles, Rev. Thomas Roussel Davids",2,male,42.0
S,0,151,"Bateman, Rev. Robert James",2,male,51.0
S,1,152,"Pears, Mrs. Thomas (Edith Wearne)",1,female,22.0
S,0,153,"Meo, Mr. Alfonzo",3,male,55.5
S,0,154,"van Billiard, Mr. Austin Blyler",3,male,40.5
S,0,155,"Olsen, Mr. Ole Martin",3,male,33.2
C,0,156,"Williams, Mr. Charles Duane",1,male,51.0
Q,1,157,"Gilnagh, Miss. Katherine ""Katie""",3,female,16.0
S,0,158,"Corn, Mr. Harry",3,male,30.0
S,0,159,"Smiljanic, Mr. Mile",3,male,33.2
S,0,160,"Sage, Master. Thomas Henry",3,male,33.2
S,0,161,"Cribb, Mr. John Hatfield",3,male,44.0
S,1,162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",2,female,40.0
S,0,163,"Bengtsson, Mr. John Viktor",3,male,26.0
S,0,164,"Calic, Mr. Jovo",3,male,17.0
S,0,165,"Panula, Master. Eino Viljami",3,male,1.0
S,1,166,"Goldsmith, Master. Frank John William ""Frankie""",3,male,9.0
S,1,167,"Chibnall, Mrs. (Edith Martha Bowerman)",1,female,33.2
S,0,168,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",3,female,45.0
S,0,169,"Baumann, Mr. John D",1,male,33.2
S,0,170,"Ling, Mr. Lee",3,male,28.0
S,0,171,"Van der hoef, Mr. Wyckoff",1,male,61.0
Q,0,172,"Rice, Master. Arthur",3,male,4.0
S,1,173,"Johnson, Miss. Eleanor Ileen",3,female,1.0
S,0,174,"Sivola, Mr. Antti Wilhelm",3,male,21.0
C,0,175,"Smith, Mr. James Clinch",1,male,56.0
S,0,176,"Klasen, Mr. Klas Albin",3,male,18.0
S,0,177,"Lefebre, Master. Henry Forbes",3,male,33.2
C,0,178,"Isham, Miss. Ann Elizabeth",1,female,50.0
S,0,179,"Hale, Mr. Reginald",2,male,30.0
S,0,180,"Leonard, Mr. Lionel",3,male,36.0
S,0,181,"Sage, Miss. Constance Gladys",3,female,33.2
C,0,182,"Pernot, Mr. Rene",2,male,33.2
S,0,183,"Asplund, Master. Clarence Gustaf Hugo",3,male,9.0
S,1,184,"Becker, Master. Richard F",2,male,1.0
S,1,185,"Kink-Heilmann, Miss. Luise Gretchen",3,female,4.0
S,0,186,"Rood, Mr. Hugh Roscoe",1,male,33.2
Q,1,187,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",3,female,33.2
S,1,188,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",1,male,45.0
Q,0,189,"Bourke, Mr. John",3,male,40.0
S,0,190,"Turcin, Mr. Stjepan",3,male,36.0
S,1,191,"Pinsky, Mrs. (Rosa)",2,female,32.0
S,0,192,"Carbines, Mr. William",2,male,19.0
S,1,193,"Andersen-Jensen, Miss. Carla Christine Nielsine",3,female,19.0
S,1,194,"Navratil, Master. Michel M",2,male,3.0
C,1,195,"Brown, Mrs. James Joseph (Margaret Tobin)",1,female,44.0
C,1,196,"Lurette, Miss. Elise",1,female,58.0
Q,0,197,"Mernagh, Mr. Robert",3,male,33.2
S,0,198,"Olsen, Mr. Karl Siegwart Andreas",3,male,42.0
Q,1,199,"Madigan, Miss. Margaret ""Maggie""",3,female,33.2
S,0,200,"Yrois, Miss. Henriette (""Mrs Harbeck"")",2,female,24.0
S,0,201,"Vande Walle, Mr. Nestor Cyriel",3,male,28.0
S,0,202,"Sage, Mr. Frederick",3,male,33.2
S,0,203,"Johanson, Mr. Jakob Alfred",3,male,34.0
C,0,204,"Youseff, Mr. Gerious",3,male,45.5
S,1,205,"Cohen, Mr. Gurshon ""Gus""",3,male,18.0
S,0,206,"Strom, Miss. Telma Matilda",3,female,2.0
S,0,207,"Backstrom, Mr. Karl Alfred",3,male,32.0
C,1,208,"Albimona, Mr. Nassef Cassem",3,male,26.0
Q,1,209,"Carr, Miss. Helen ""Ellen""",3,female,16.0
C,1,210,"Blank, Mr. Henry",1,male,40.0
S,0,211,"Ali, Mr. Ahmed",3,male,24.0
S,1,212,"Cameron, Miss. Clear Annie",2,female,35.0
S,0,213,"Perkin, Mr. John Henry",3,male,22.0
S,0,214,"Givard, Mr. Hans Kristensen",2,male,30.0
Q,0,215,"Kiernan, Mr. Philip",3,male,33.2
C,1,216,"Newell, Miss. Madeleine",1,female,31.0
S,1,217,"Honkanen, Miss. Eliina",3,female,27.0
S,0,218,"Jacobsohn, Mr. Sidney Samuel",2,male,42.0
C,1,219,"Bazzani, Miss. Albina",1,female,32.0
S,0,220,"Harris, Mr. Walter",2,male,30.0
S,1,221,"Sunderland, Mr. Victor Francis",3,male,16.0
S,0,222,"Bracken, Mr. James H",2,male,27.0
S,0,223,"Green, Mr. George Henry",3,male,51.0
S,0,224,"Nenkoff, Mr. Christo",3,male,33.2
S,1,225,"Hoyt, Mr. Frederick Maxfield",1,male,38.0
S,0,226,"Berglund, Mr. Karl Ivar Sven",3,male,22.0
S,1,227,"Mellors, Mr. William John",2,male,19.0
S,0,228,"Lovell, Mr. John Hall (""Henry"")",3,male,20.5
S,0,229,"Fahlstrom, Mr. Arne Jonas",2,male,18.0
S,0,230,"Lefebre, Miss. Mathilde",3,female,33.2
S,1,231,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1,female,35.0
S,0,232,"Larsson, Mr. Bengt Edvin",3,male,29.0
S,0,233,"Sjostedt, Mr. Ernst Adolf",2,male,59.0
S,1,234,"Asplund, Miss. Lillian Gertrud",3,female,5.0
S,0,235,"Leyson, Mr. Robert William Norman",2,male,24.0
S,0,236,"Harknett, Miss. Alice Phoebe",3,female,33.2
S,0,237,"Hold, Mr. Stephen",2,male,44.0
S,1,238,"Collyer, Miss. Marjorie ""Lottie""",2,female,8.0
S,0,239,"Pengelly, Mr. Frederick William",2,male,19.0
S,0,240,"Hunt, Mr. George Henry",2,male,33.0
C,0,241,"Zabour, Miss. Thamine",3,female,33.2
Q,1,242,"Murphy, Miss. Katherine ""Kate""",3,female,33.2
S,0,243,"Coleridge, Mr. Reginald Charles",2,male,29.0
S,0,244,"Maenpaa, Mr. Matti Alexanteri",3,male,22.0
C,0,245,"Attalah, Mr. Sleiman",3,male,30.0
Q,0,246,"Minahan, Dr. William Edward",1,male,44.0
S,0,247,"Lindahl, Miss. Agda Thorilda Viktoria",3,female,25.0
S,1,248,"Hamalainen, Mrs. William (Anna)",2,female,24.0
S,1,249,"Beckwith, Mr. Richard Leonard",1,male,37.0
S,0,250,"Carter, Rev. Ernest Courtenay",2,male,54.0
S,0,251,"Reed, Mr. James George",3,male,33.2
S,0,252,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",3,female,29.0
S,0,253,"Stead, Mr. William Thomas",1,male,62.0
S,0,254,"Lobb, Mr. William Arthur",3,male,30.0
S,0,255,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",3,female,41.0
C,1,256,"Touma, Mrs. Darwis (Hanne Youssef Razi)",3,female,29.0
C,1,257,"Thorne, Mrs. Gertrude Maybelle",1,female,33.2
S,1,258,"Cherry, Miss. Gladys",1,female,30.0
C,1,259,"Ward, Miss. Anna",1,female,35.0
S,1,260,"Parrish, Mrs. (Lutie Davis)",2,female,50.0
Q,0,261,"Smith, Mr. Thomas",3,male,33.2
S,1,262,"Asplund, Master. Edvin Rojj Felix",3,male,3.0
S,0,263,"Taussig, Mr. Emil",1,male,52.0
S,0,264,"Harrison, Mr. William",1,male,40.0
Q,0,265,"Henry, Miss. Delia",3,female,33.2
S,0,266,"Reeves, Mr. David",2,male,36.0
S,0,267,"Panula, Mr. Ernesti Arvid",3,male,16.0
S,1,268,"Persson, Mr. Ernst Ulrik",3,male,25.0
S,1,269,"Graham, Mrs. William Thompson (Edith Junkins)",1,female,58.0
S,1,270,"Bissette, Miss. Amelia",1,female,35.0
S,0,271,"Cairns, Mr. Alexander",1,male,33.2
S,1,272,"Tornquist, Mr. William Henry",3,male,25.0
S,1,273,"Mellinger, Mrs. (Elizabeth Anne Maidment)",2,female,41.0
C,0,274,"Natsch, Mr. Charles H",1,male,37.0
Q,1,275,"Healy, Miss. Hanora ""Nora""",3,female,33.2
S,1,276,"Andrews, Miss. Kornelia Theodosia",1,female,63.0
S,0,277,"Lindblom, Miss. Augusta Charlotta",3,female,45.0
S,0,278,"Parkes, Mr. Francis ""Frank""",2,male,33.2
Q,0,279,"Rice, Master. Eric",3,male,7.0
S,1,280,"Abbott, Mrs. Stanton (Rosa Hunt)",3,female,35.0
Q,0,281,"Duane, Mr. Frank",3,male,65.0
S,0,282,"Olsson, Mr. Nils Johan Goransson",3,male,28.0
S,0,283,"de Pelsmaeker, Mr. Alfons",3,male,16.0
S,1,284,"Dorking, Mr. Edward Arthur",3,male,19.0
S,0,285,"Smith, Mr. Richard William",1,male,33.2
C,0,286,"Stankovic, Mr. Ivan",3,male,33.0
S,1,287,"de Mulder, Mr. Theodore",3,male,30.0
S,0,288,"Naidenoff, Mr. Penko",3,male,22.0
S,1,289,"Hosono, Mr. Masabumi",2,male,42.0
Q,1,290,"Connolly, Miss. Kate",3,female,22.0
S,1,291,"Barber, Miss. Ellen ""Nellie""",1,female,26.0
C,1,292,"Bishop, Mrs. Dickinson H (Helen Walton)",1,female,19.0
C,0,293,"Levy, Mr. Rene Jacques",2,male,36.0
S,0,294,"Haas, Miss. Aloisia",3,female,24.0
S,0,295,"Mineff, Mr. Ivan",3,male,24.0
C,0,296,"Lewy, Mr. Ervin G",1,male,33.2
C,0,297,"Hanna, Mr. Mansour",3,male,23.5
S,0,298,"Allison, Miss. Helen Loraine",1,female,2.0
S,1,299,"Saalfeld, Mr. Adolphe",1,male,33.2
C,1,300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,female,50.0
Q,1,301,"Kelly, Miss. Anna Katherine ""Annie Kate""",3,female,33.2
Q,1,302,"McCoy, Mr. Bernard",3,male,33.2
S,0,303,"Johnson, Mr. William Cahoone Jr",3,male,19.0
Q,1,304,"Keane, Miss. Nora A",2,female,33.2
S,0,305,"Williams, Mr. Howard Hugh ""Harry""",3,male,33.2
S,1,306,"Allison, Master. Hudson Trevor",1,male,0.92
C,1,307,"Fleming, Miss. Margaret",1,female,33.2
C,1,308,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1,female,17.0
C,0,309,"Abelson, Mr. Samuel",2,male,30.0
C,1,310,"Francatelli, Miss. Laura Mabel",1,female,30.0
C,1,311,"Hays, Miss. Margaret Bechstein",1,female,24.0
C,1,312,"Ryerson, Miss. Emily Borie",1,female,18.0
S,0,313,"Lahtinen, Mrs. William (Anna Sylfven)",2,female,26.0
S,0,314,"Hendekovic, Mr. Ignjac",3,male,28.0
S,0,315,"Hart, Mr. Benjamin",2,male,43.0
S,1,316,"Nilsson, Miss. Helmina Josefina",3,female,26.0
S,1,317,"Kantor, Mrs. Sinai (Miriam Sternin)",2,female,24.0
S,0,318,"Moraweck, Dr. Ernest",2,male,54.0
S,1,319,"Wick, Miss. Mary Natalie",1,female,31.0
C,1,320,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",1,female,40.0
S,0,321,"Dennis, Mr. Samuel",3,male,22.0
S,0,322,"Danoff, Mr. Yoto",3,male,27.0
Q,1,323,"Slayter, Miss. Hilda Mary",2,female,30.0
S,1,324,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",2,female,22.0
S,0,325,"Sage, Mr. George John Jr",3,male,33.2
C,1,326,"Young, Miss. Marie Grice",1,female,36.0
S,0,327,"Nysveen, Mr. Johan Hansen",3,male,61.0
S,1,328,"Ball, Mrs. (Ada E Hall)",2,female,36.0
S,1,329,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",3,female,31.0
C,1,330,"Hippach, Miss. Jean Gertrude",1,female,16.0
Q,1,331,"McCoy, Miss. Agnes",3,female,33.2
S,0,332,"Partner, Mr. Austen",1,male,45.5
S,0,333,"Graham, Mr. George Edward",1,male,38.0
S,0,334,"Vander Planke, Mr. Leo Edmondus",3,male,16.0
S,1,335,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",1,female,33.2
S,0,336,"Denkoff, Mr. Mitto",3,male,33.2
S,0,337,"Pears, Mr. Thomas Clinton",1,male,29.0
C,1,338,"Burns, Miss. Elizabeth Margaret",1,female,41.0
S,1,339,"Dahl, Mr. Karl Edwart",3,male,45.0
S,0,340,"Blackwell, Mr. Stephen Weart",1,male,45.0
S,1,341,"Navratil, Master. Edmond Roger",2,male,2.0
S,1,342,"Fortune, Miss. Alice Elizabeth",1,female,24.0
S,0,343,"Collander, Mr. Erik Gustaf",2,male,28.0
S,0,344,"Sedgwick, Mr. Charles Frederick Waddington",2,male,25.0
S,0,345,"Fox, Mr. Stanley Hubert",2,male,36.0
S,1,346,"Brown, Miss. Amelia ""Mildred""",2,female,24.0
S,1,347,"Smith, Miss. Marion Elsie",2,female,40.0
S,1,348,"Davison, Mrs. Thomas Henry (Mary E Finck)",3,female,33.2
S,1,349,"Coutts, Master. William Loch ""William""",3,male,3.0
S,0,350,"Dimic, Mr. Jovan",3,male,42.0
S,0,351,"Odahl, Mr. Nils Martin",3,male,23.0
S,0,352,"Williams-Lambert, Mr. Fletcher Fellows",1,male,33.2
C,0,353,"Elias, Mr. Tannous",3,male,15.0
S,0,354,"Arnold-Franchi, Mr. Josef",3,male,25.0
C,0,355,"Yousif, Mr. Wazli",3,male,33.2
S,0,356,"Vanden Steen, Mr. Leo Peter",3,male,28.0
S,1,357,"Bowerman, Miss. Elsie Edith",1,female,22.0
S,0,358,"Funk, Miss. Annie Clemmer",2,female,38.0
Q,1,359,"McGovern, Miss. Mary",3,female,33.2
Q,1,360,"Mockler, Miss. Helen Mary ""Ellie""",3,female,33.2
S,0,361,"Skoog, Mr. Wilhelm",3,male,40.0
C,0,362,"del Carlo, Mr. Sebastiano",2,male,29.0
C,0,363,"Barbara, Mrs. (Catherine David)",3,female,45.0
S,0,364,"Asim, Mr. Adola",3,male,35.0
Q,0,365,"O'Brien, Mr. Thomas",3,male,33.2
S,0,366,"Adahl, Mr. Mauritz Nils Martin",3,male,30.0
C,1,367,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,female,60.0
C,1,368,"Moussa, Mrs. (Mantoura Boulos)",3,female,33.2
Q,1,369,"Jermyn, Miss. Annie",3,female,33.2
C,1,370,"Aubart, Mme. Leontine Pauline",1,female,24.0
C,1,371,"Harder, Mr. George Achilles",1,male,25.0
S,0,372,"Wiklund, Mr. Jakob Alfred",3,male,18.0
S,0,373,"Beavan, Mr. William Thomas",3,male,19.0
C,0,374,"Ringhini, Mr. Sante",1,male,22.0
S,0,375,"Palsson, Miss. Stina Viola",3,female,3.0
C,1,376,"Meyer, Mrs. Edgar Joseph (Leila Saks)",1,female,33.2
S,1,377,"Landergren, Miss. Aurora Adelia",3,female,22.0
C,0,378,"Widener, Mr. Harry Elkins",1,male,27.0
C,0,379,"Betros, Mr. Tannous",3,male,20.0
S,0,380,"Gustafsson, Mr. Karl Gideon",3,male,19.0
C,1,381,"Bidois, Miss. Rosalie",1,female,42.0
C,1,382,"Nakid, Miss. Maria (""Mary"")",3,female,1.0
S,0,383,"Tikkanen, Mr. Juho",3,male,32.0
S,1,384,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",1,female,35.0
S,0,385,"Plotcharsky, Mr. Vasil",3,male,33.2
S,0,386,"Davies, Mr. Charles Henry",2,male,18.0
S,0,387,"Goodwin, Master. Sidney Leonard",3,male,1.0
S,1,388,"Buss, Miss. Kate",2,female,36.0
Q,0,389,"Sadlier, Mr. Matthew",3,male,33.2
C,1,390,"Lehmann, Miss. Bertha",2,female,17.0
S,1,391,"Carter, Mr. William Ernest",1,male,36.0
S,1,392,"Jansson, Mr. Carl Olof",3,male,21.0
S,0,393,"Gustafsson, Mr. Johan Birger",3,male,28.0
C,1,394,"Newell, Miss. Marjorie",1,female,23.0
S,1,395,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",3,female,24.0
S,0,396,"Johansson, Mr. Erik",3,male,22.0
S,0,397,"Olsson, Miss. Elina",3,female,31.0
S,0,398,"McKane, Mr. Peter David",2,male,46.0
S,0,399,"Pain, Dr. Alfred",2,male,23.0
S,1,400,"Trout, Mrs. William H (Jessie L)",2,female,28.0
S,1,401,"Niskanen, Mr. Juha",3,male,39.0
S,0,402,"Adams, Mr. John",3,male,26.0
S,0,403,"Jussila, Miss. Mari Aina",3,female,21.0
S,0,404,"Hakkarainen, Mr. Pekka Pietari",3,male,28.0
S,0,405,"Oreskovic, Miss. Marija",3,female,20.0
S,0,406,"Gale, Mr. Shadrach",2,male,34.0
S,0,407,"Widegren, Mr. Carl/Charles Peter",3,male,51.0
S,1,408,"Richards, Master. William Rowe",2,male,3.0
S,0,409,"Birkeland, Mr. Hans Martin Monsen",3,male,21.0
S,0,410,"Lefebre, Miss. Ida",3,female,33.2
S,0,411,"Sdycoff, Mr. Todor",3,male,33.2
Q,0,412,"Hart, Mr. Henry",3,male,33.2
Q,1,413,"Minahan, Miss. Daisy E",1,female,33.0
S,0,414,"Cunningham, Mr. Alfred Fleming",2,male,33.2
S,1,415,"Sundman, Mr. Johan Julian",3,male,44.0
S,0,416,"Meek, Mrs. Thomas (Annie Louise Rowley)",3,female,33.2
S,1,417,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",2,female,34.0
S,1,418,"Silven, Miss. Lyyli Karoliina",2,female,18.0
S,0,419,"Matthews, Mr. William John",2,male,30.0
S,0,420,"Van Impe, Miss. Catharina",3,female,10.0
C,0,421,"Gheorgheff, Mr. Stanio",3,male,33.2
Q,0,422,"Charters, Mr. David",3,male,21.0
S,0,423,"Zimmerman, Mr. Leo",3,male,29.0
