PassengerId,Name,Sex,Age,SibSp,Parch
102,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0
103,"White, Mr. Richard Frasar",male,21,0,1
104,"Johansson, Mr. Gustaf Joel",male,33,0,0
105,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0
106,"Mionoff, Mr. Stoytcho",male,28,0,0
107,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0
108,"Moss, Mr. Albert Johan",male,,0,0
109,"Rekic, Mr. Tido",male,38,0,0
110,"Moran, Miss. Bertha",female,,1,0
111,"Porter, Mr. Walter Chamberlain",male,47,0,0
112,"Zabour, Miss. Hileni",female,14.5,1,0
113,"Barton, Mr. David John",male,22,0,0
114,"Jussila, Miss. Katriina",female,20,1,0
115,"Attalah, Miss. Malake",female,17,0,0
116,"Pekoniemi, Mr. Edvard",male,21,0,0
117,"Connors, Mr. Patrick",male,70.5,0,0
118,"Turpin, Mr. William John Robert",male,29,1,0
119,"Baxter, Mr. Quigg Edmond",male,24,0,1
120,"Andersson, Miss. Ellis Anna Maria",female,2,4,2
121,"Hickman, Mr. Stanley George",male,21,2,0
122,"Moore, Mr. Leonard Charles",male,,0,0
123,"Nasser, Mr. Nicholas",male,32.5,1,0
124,"Webber, Miss. Susan",female,32.5,0,0
125,"White, Mr. Percival Wayland",male,54,0,1
126,"Nicola-Yarred, Master. Elias",male,12,1,0
127,"McMahon, Mr. Martin",male,,0,0
128,"Madsen, Mr. Fridtjof Arne",male,24,0,0
129,"Peter, Miss. Anna",female,,1,1
130,"Ekstrom, Mr. Johan",male,45,0,0
131,"Drazenoic, Mr. Jozef",male,33,0,0
132,"Coelho, Mr. Domingos Fernandeo",male,20,0,0
133,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0
134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0
135,"Sobey, Mr. Samuel James Hayden",male,25,0,0
136,"Richard, Mr. Emile",male,23,0,0
137,"Newsom, Miss. Helen Monypeny",female,19,0,2
138,"Futrelle, Mr. Jacques Heath",male,37,1,0
139,"Osen, Mr. Olaf Elon",male,16,0,0
140,"Giglio, Mr. Victor",male,24,0,0
141,"Boulos, Mrs. Joseph (Sultana)",female,,0,2
142,"Nysten, Miss. Anna Sofia",female,22,0,0
143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0
144,"Burke, Mr. Jeremiah",male,19,0,0
145,"Andrew, Mr. Edgardo Samuel",male,18,0,0
146,"Nicholls, Mr. Joseph Charles",male,19,1,1
147,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,0
148,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,2
149,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2
150,"Byles, Rev. Thomas Roussel Davids",male,42,0,0
151,"Bateman, Rev. Robert James",male,51,0,0
152,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0
153,"Meo, Mr. Alfonzo",male,55.5,0,0
154,"van Billiard, Mr. Austin Blyler",male,40.5,0,2
155,"Olsen, Mr. Ole Martin",male,,0,0
156,"Williams, Mr. Charles Duane",male,51,0,1
157,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0
158,"Corn, Mr. Harry",male,30,0,0
159,"Smiljanic, Mr. Mile",male,,0,0
160,"Sage, Master. Thomas Henry",male,,8,2
161,"Cribb, Mr. John Hatfield",male,44,0,1
162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,0
163,"Bengtsson, Mr. John Viktor",male,26,0,0
164,"Calic, Mr. Jovo",male,17,0,0
165,"Panula, Master. Eino Viljami",male,1,4,1
166,"Goldsmith, Master. Frank John William ""Frankie""",male,9,0,2
167,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1
168,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,4
169,"Baumann, Mr. John D",male,,0,0
170,"Ling, Mr. Lee",male,28,0,0
171,"Van der hoef, Mr. Wyckoff",male,61,0,0
172,"Rice, Master. Arthur",male,4,4,1
173,"Johnson, Miss. Eleanor Ileen",female,1,1,1
174,"Sivola, Mr. Antti Wilhelm",male,21,0,0
175,"Smith, Mr. James Clinch",male,56,0,0
176,"Klasen, Mr. Klas Albin",male,18,1,1
177,"Lefebre, Master. Henry Forbes",male,,3,1
178,"Isham, Miss. Ann Elizabeth",female,50,0,0
179,"Hale, Mr. Reginald",male,30,0,0
180,"Leonard, Mr. Lionel",male,36,0,0
181,"Sage, Miss. Constance Gladys",female,,8,2
182,"Pernot, Mr. Rene",male,,0,0
183,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2
184,"Becker, Master. Richard F",male,1,2,1
185,"Kink-Heilmann, Miss. Luise Gretchen",female,4,0,2
186,"Rood, Mr. Hugh Roscoe",male,,0,0
187,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0
188,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,0,0
189,"Bourke, Mr. John",male,40,1,1
190,"Turcin, Mr. Stjepan",male,36,0,0
191,"Pinsky, Mrs. (Rosa)",female,32,0,0
192,"Carbines, Mr. William",male,19,0,0
193,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,1,0
194,"Navratil, Master. Michel M",male,3,1,1
195,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0
196,"Lurette, Miss. Elise",female,58,0,0
197,"Mernagh, Mr. Robert",male,,0,0
198,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1
199,"Madigan, Miss. Margaret ""Maggie""",female,,0,0
200,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,0,0
201,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0
202,"Sage, Mr. Frederick",male,,8,2
203,"Johanson, Mr. Jakob Alfred",male,34,0,0
204,"Youseff, Mr. Gerious",male,45.5,0,0
205,"Cohen, Mr. Gurshon ""Gus""",male,18,0,0
206,"Strom, Miss. Telma Matilda",female,2,0,1
207,"Backstrom, Mr. Karl Alfred",male,32,1,0
208,"Albimona, Mr. Nassef Cassem",male,26,0,0
209,"Carr, Miss. Helen ""Ellen""",female,16,0,0
210,"Blank, Mr. Henry",male,40,0,0
211,"Ali, Mr. Ahmed",male,24,0,0
212,"Cameron, Miss. Clear Annie",female,35,0,0
213,"Perkin, Mr. John Henry",male,22,0,0
214,"Givard, Mr. Hans Kristensen",male,30,0,0
215,"Kiernan, Mr. Philip",male,,1,0
216,"Newell, Miss. Madeleine",female,31,1,0
217,"Honkanen, Miss. Eliina",female,27,0,0
218,"Jacobsohn, Mr. Sidney Samuel",male,42,1,0
219,"Bazzani, Miss. Albina",female,32,0,0
220,"Harris, Mr. Walter",male,30,0,0
221,"Sunderland, Mr. Victor Francis",male,16,0,0
222,"Bracken, Mr. James H",male,27,0,0
223,"Green, Mr. George Henry",male,51,0,0
224,"Nenkoff, Mr. Christo",male,,0,0
225,"Hoyt, Mr. Frederick Maxfield",male,38,1,0
226,"Berglund, Mr. Karl Ivar Sven",male,22,0,0
227,"Mellors, Mr. William John",male,19,0,0
228,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0
229,"Fahlstrom, Mr. Arne Jonas",male,18,0,0
230,"Lefebre, Miss. Mathilde",female,,3,1
231,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0
232,"Larsson, Mr. Bengt Edvin",male,29,0,0
233,"Sjostedt, Mr. Ernst Adolf",male,59,0,0
234,"Asplund, Miss. Lillian Gertrud",female,5,4,2
235,"Leyson, Mr. Robert William Norman",male,24,0,0
236,"Harknett, Miss. Alice Phoebe",female,,0,0
237,"Hold, Mr. Stephen",male,44,1,0
238,"Collyer, Miss. Marjorie ""Lottie""",female,8,0,2
239,"Pengelly, Mr. Frederick William",male,19,0,0
240,"Hunt, Mr. George Henry",male,33,0,0
241,"Zabour, Miss. Thamine",female,,1,0
242,"Murphy, Miss. Katherine ""Kate""",female,,1,0
243,"Coleridge, Mr. Reginald Charles",male,29,0,0
244,"Maenpaa, Mr. Matti Alexanteri",male,22,0,0
245,"Attalah, Mr. Sleiman",male,30,0,0
246,"Minahan, Dr. William Edward",male,44,2,0
247,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,0,0
248,"Hamalainen, Mrs. William (Anna)",female,24,0,2
249,"Beckwith, Mr. Richard Leonard",male,37,1,1
250,"Carter, Rev. Ernest Courtenay",male,54,1,0
251,"Reed, Mr. James George",male,,0,0
252,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1
253,"Stead, Mr. William Thomas",male,62,0,0
254,"Lobb, Mr. William Arthur",male,30,1,0
255,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,0,2
256,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,2
257,"Thorne, Mrs. Gertrude Maybelle",female,,0,0
258,"Cherry, Miss. Gladys",female,30,0,0
259,"Ward, Miss. Anna",female,35,0,0
260,"Parrish, Mrs. (Lutie Davis)",female,50,0,1
261,"Smith, Mr. Thomas",male,,0,0
262,"Asplund, Master. Edvin Rojj Felix",male,3,4,2
263,"Taussig, Mr. Emil",male,52,1,1
264,"Harrison, Mr. William",male,40,0,0
265,"Henry, Miss. Delia",female,,0,0
266,"Reeves, Mr. David",male,36,0,0
267,"Panula, Mr. Ernesti Arvid",male,16,4,1
268,"Persson, Mr. Ernst Ulrik",male,25,1,0
269,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,0,1
270,"Bissette, Miss. Amelia",female,35,0,0
271,"Cairns, Mr. Alexander",male,,0,0
272,"Tornquist, Mr. William Henry",male,25,0,0
273,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41,0,1
274,"Natsch, Mr. Charles H",male,37,0,1
275,"Healy, Miss. Hanora ""Nora""",female,,0,0
276,"Andrews, Miss. Kornelia Theodosia",female,63,1,0
277,"Lindblom, Miss. Augusta Charlotta",female,45,0,0
278,"Parkes, Mr. Francis ""Frank""",male,,0,0
279,"Rice, Master. Eric",male,7,4,1
280,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,1,1
281,"Duane, Mr. Frank",male,65,0,0
282,"Olsson, Mr. Nils Johan Goransson",male,28,0,0
283,"de Pelsmaeker, Mr. Alfons",male,16,0,0
284,"Dorking, Mr. Edward Arthur",male,19,0,0
285,"Smith, Mr. Richard William",male,,0,0
286,"Stankovic, Mr. Ivan",male,33,0,0
287,"de Mulder, Mr. Theodore",male,30,0,0
288,"Naidenoff, Mr. Penko",male,22,0,0
289,"Hosono, Mr. Masabumi",male,42,0,0
290,"Connolly, Miss. Kate",female,22,0,0
291,"Barber, Miss. Ellen ""Nellie""",female,26,0,0
292,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,0
293,"Levy, Mr. Rene Jacques",male,36,0,0
294,"Haas, Miss. Aloisia",female,24,0,0
295,"Mineff, Mr. Ivan",male,24,0,0
296,"Lewy, Mr. Ervin G",male,,0,0
297,"Hanna, Mr. Mansour",male,23.5,0,0
298,"Allison, Miss. Helen Loraine",female,2,1,2
299,"Saalfeld, Mr. Adolphe",male,,0,0
300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,0,1
301,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,,0,0
302,"McCoy, Mr. Bernard",male,,2,0
303,"Johnson, Mr. William Cahoone Jr",male,19,0,0
304,"Keane, Miss. Nora A",female,,0,0
305,"Williams, Mr. Howard Hugh ""Harry""",male,,0,0
306,"Allison, Master. Hudson Trevor",male,0.92,1,2
307,"Fleming, Miss. Margaret",female,,0,0
308,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,0
309,"Abelson, Mr. Samuel",male,30,1,0
310,"Francatelli, Miss. Laura Mabel",female,30,0,0
311,"Hays, Miss. Margaret Bechstein",female,24,0,0
312,"Ryerson, Miss. Emily Borie",female,18,2,2
313,"Lahtinen, Mrs. William (Anna Sylfven)",female,26,1,1
314,"Hendekovic, Mr. Ignjac",male,28,0,0
315,"Hart, Mr. Benjamin",male,43,1,1
316,"Nilsson, Miss. Helmina Josefina",female,26,0,0
317,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24,1,0
318,"Moraweck, Dr. Ernest",male,54,0,0
319,"Wick, Miss. Mary Natalie",female,31,0,2
320,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40,1,1
321,"Dennis, Mr. Samuel",male,22,0,0
322,"Danoff, Mr. Yoto",male,27,0,0
323,"Slayter, Miss. Hilda Mary",female,30,0,0
324,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22,1,1
325,"Sage, Mr. George John Jr",male,,8,2
326,"Young, Miss. Marie Grice",female,36,0,0
327,"Nysveen, Mr. Johan Hansen",male,61,0,0
328,"Ball, Mrs. (Ada E Hall)",female,36,0,0
329,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31,1,1
330,"Hippach, Miss. Jean Gertrude",female,16,0,1
331,"McCoy, Miss. Agnes",female,,2,0
332,"Partner, Mr. Austen",male,45.5,0,0
333,"Graham, Mr. George Edward",male,38,0,1
334,"Vander Planke, Mr. Leo Edmondus",male,16,2,0
335,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,,1,0
336,"Denkoff, Mr. Mitto",male,,0,0
337,"Pears, Mr. Thomas Clinton",male,29,1,0
338,"Burns, Miss. Elizabeth Margaret",female,41,0,0
339,"Dahl, Mr. Karl Edwart",male,45,0,0
340,"Blackwell, Mr. Stephen Weart",male,45,0,0
341,"Navratil, Master. Edmond Roger",male,2,1,1
342,"Fortune, Miss. Alice Elizabeth",female,24,3,2
343,"Collander, Mr. Erik Gustaf",male,28,0,0
344,"Sedgwick, Mr. Charles Frederick Waddington",male,25,0,0
345,"Fox, Mr. Stanley Hubert",male,36,0,0
346,"Brown, Miss. Amelia ""Mildred""",female,24,0,0
347,"Smith, Miss. Marion Elsie",female,40,0,0
348,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,1,0
349,"Coutts, Master. William Loch ""William""",male,3,1,1
350,"Dimic, Mr. Jovan",male,42,0,0
351,"Odahl, Mr. Nils Martin",male,23,0,0
352,"Williams-Lambert, Mr. Fletcher Fellows",male,,0,0
353,"Elias, Mr. Tannous",male,15,1,1
354,"Arnold-Franchi, Mr. Josef",male,25,1,0
355,"Yousif, Mr. Wazli",male,,0,0
356,"Vanden Steen, Mr. Leo Peter",male,28,0,0
357,"Bowerman, Miss. Elsie Edith",female,22,0,1
358,"Funk, Miss. Annie Clemmer",female,38,0,0
359,"McGovern, Miss. Mary",female,,0,0
360,"Mockler, Miss. Helen Mary ""Ellie""",female,,0,0
361,"Skoog, Mr. Wilhelm",male,40,1,4
362,"del Carlo, Mr. Sebastiano",male,29,1,0
363,"Barbara, Mrs. (Catherine David)",female,45,0,1
364,"Asim, Mr. Adola",male,35,0,0
365,"O'Brien, Mr. Thomas",male,,1,0
366,"Adahl, Mr. Mauritz Nils Martin",male,30,0,0
367,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60,1,0
368,"Moussa, Mrs. (Mantoura Boulos)",female,,0,0
369,"Jermyn, Miss. Annie",female,,0,0
370,"Aubart, Mme. Leontine Pauline",female,24,0,0
371,"Harder, Mr. George Achilles",male,25,1,0
372,"Wiklund, Mr. Jakob Alfred",male,18,1,0
373,"Beavan, Mr. William Thomas",male,19,0,0
374,"Ringhini, Mr. Sante",male,22,0,0
375,"Palsson, Miss. Stina Viola",female,3,3,1
376,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,1,0
377,"Landergren, Miss. Aurora Adelia",female,22,0,0
378,"Widener, Mr. Harry Elkins",male,27,0,2
379,"Betros, Mr. Tannous",male,20,0,0
380,"Gustafsson, Mr. Karl Gideon",male,19,0,0
381,"Bidois, Miss. Rosalie",female,42,0,0
382,"Nakid, Miss. Maria (""Mary"")",female,1,0,2
383,"Tikkanen, Mr. Juho",male,32,0,0
384,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35,1,0
385,"Plotcharsky, Mr. Vasil",male,,0,0
386,"Davies, Mr. Charles Henry",male,18,0,0
387,"Goodwin, Master. Sidney Leonard",male,1,5,2
388,"Buss, Miss. Kate",female,36,0,0
389,"Sadlier, Mr. Matthew",male,,0,0
390,"Lehmann, Miss. Bertha",female,17,0,0
391,"Carter, Mr. William Ernest",male,36,1,2
392,"Jansson, Mr. Carl Olof",male,21,0,0
393,"Gustafsson, Mr. Johan Birger",male,28,2,0
394,"Newell, Miss. Marjorie",female,23,1,0
395,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24,0,2
396,"Johansson, Mr. Erik",male,22,0,0
397,"Olsson, Miss. Elina",female,31,0,0
398,"McKane, Mr. Peter David",male,46,0,0
399,"Pain, Dr. Alfred",male,23,0,0
400,"Trout, Mrs. William H (Jessie L)",female,28,0,0
401,"Niskanen, Mr. Juha",male,39,0,0
402,"Adams, Mr. John",male,26,0,0
403,"Jussila, Miss. Mari Aina",female,21,1,0
404,"Hakkarainen, Mr. Pekka Pietari",male,28,1,0
405,"Oreskovic, Miss. Marija",female,20,0,0
406,"Gale, Mr. Shadrach",male,34,1,0
407,"Widegren, Mr. Carl/Charles Peter",male,51,0,0
408,"Richards, Master. William Rowe",male,3,1,1
409,"Birkeland, Mr. Hans Martin Monsen",male,21,0,0
410,"Lefebre, Miss. Ida",female,,3,1
411,"Sdycoff, Mr. Todor",male,,0,0
412,"Hart, Mr. Henry",male,,0,0
413,"Minahan, Miss. Daisy E",female,33,1,0
414,"Cunningham, Mr. Alfred Fleming",male,,0,0
415,"Sundman, Mr. Johan Julian",male,44,0,0
416,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,,0,0
417,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34,1,1
418,"Silven, Miss. Lyyli Karoliina",female,18,0,2
419,"Matthews, Mr. William John",male,30,0,0
420,"Van Impe, Miss. Catharina",female,10,0,2
421,"Gheorgheff, Mr. Stanio",male,,0,0
422,"Charters, Mr. David",male,21,0,0
423,"Zimmerman, Mr. Leo",male,29,0,0
424,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28,1,1
425,"Rosblom, Mr. Viktor Richard",male,18,1,1
426,"Wiseman, Mr. Phillippe",male,,0,0
427,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28,1,0
428,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,19,0,0
429,"Flynn, Mr. James",male,,0,0
430,"Pickard, Mr. Berk (Berk Trembisky)",male,32,0,0
431,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28,0,0
432,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,,1,0
433,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42,1,0
434,"Kallio, Mr. Nikolai Erland",male,17,0,0
435,"Silvey, Mr. William Baird",male,50,1,0
436,"Carter, Miss. Lucile Polk",female,14,1,2
437,"Ford, Miss. Doolina Margaret ""Daisy""",female,21,2,2
438,"Richards, Mrs. Sidney (Emily Hocking)",female,24,2,3
439,"Fortune, Mr. Mark",male,64,1,4
440,"Kvillner, Mr. Johan Henrik Johannesson",male,31,0,0
441,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45,1,1
442,"Hampe, Mr. Leon",male,20,0,0
443,"Petterson, Mr. Johan Emil",male,25,1,0
444,"Reynaldo, Ms. Encarnacion",female,28,0,0
445,"Johannesen-Bratthammer, Mr. Bernt",male,,0,0
446,"Dodge, Master. Washington",male,4,0,2
447,"Mellinger, Miss. Madeleine Violet",female,13,0,1
448,"Seward, Mr. Frederic Kimber",male,34,0,0
449,"Baclini, Miss. Marie Catherine",female,5,2,1
450,"Peuchen, Major. Arthur Godfrey",male,52,0,0
451,"West, Mr. Edwy Arthur",male,36,1,2
452,"Hagland, Mr. Ingvald Olai Olsen",male,,1,0
453,"Foreman, Mr. Benjamin Laventall",male,30,0,0
454,"Goldenberg, Mr. Samuel L",male,49,1,0
455,"Peduzzi, Mr. Joseph",male,,0,0
456,"Jalsevac, Mr. Ivan",male,29,0,0
457,"Millet, Mr. Francis Davis",male,65,0,0
458,"Kenyon, Mrs. Frederick R (Marion)",female,,1,0
459,"Toomey, Miss. Ellen",female,50,0,0
460,"O'Connor, Mr. Maurice",male,,0,0
461,"Anderson, Mr. Harry",male,48,0,0
462,"Morley, Mr. William",male,34,0,0
463,"Gee, Mr. Arthur H",male,47,0,0
464,"Milling, Mr. Jacob Christian",male,48,0,0
465,"Maisner, Mr. Simon",male,,0,0
466,"Goncalves, Mr. Manuel Estanslas",male,38,0,0
467,"Campbell, Mr. William",male,,0,0
468,"Smart, Mr. John Montgomery",male,56,0,0
469,"Scanlan, Mr. James",male,,0,0
470,"Baclini, Miss. Helene Barbara",female,0.75,2,1
471,"Keefe, Mr. Arthur",male,,0,0
472,"Cacic, Mr. Luka",male,38,0,0
473,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,33,1,2
474,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,23,0,0
475,"Strandberg, Miss. Ida Sofia",female,22,0,0
476,"Clifford, Mr. George Quincy",male,,0,0
477,"Renouf, Mr. Peter Henry",male,34,1,0
478,"Braund, Mr. Lewis Richard",male,29,1,0
479,"Karlsson, Mr. Nils August",male,22,0,0
480,"Hirvonen, Miss. Hildur E",female,2,0,1
481,"Goodwin, Master. Harold Victor",male,9,5,2
482,"Frost, Mr. Anthony Wood ""Archie""",male,,0,0
483,"Rouse, Mr. Richard Henry",male,50,0,0
484,"Turkula, Mrs. (Hedwig)",female,63,0,0
485,"Bishop, Mr. Dickinson H",male,25,1,0
486,"Lefebre, Miss. Jeannie",female,,3,1
